natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,crampton
"""On the LHCP homepage, the LHCP views a notification center with a list of his upcoming appointments for the current date, number of physiologic data monitoring reports of his patients for the current date, number of weight or pedometer data monitoring reports of his patients for the current date, number of unread messages from his message inbox.""",LHCP(L).,"NotificationCenter(NC), Appointment(A), PhysiologicReport(PR), WeightPedometerReport(WPR), Message(M).","has_appointment(L, A) :- LHCP(L), Appointment(A).
has_patient(L, P) :- LHCP(L), Patient(P).
has_physiologic_report(P, PR) :- Patient(P), PhysiologicReport(PR).
has_weight_pedometer_report(P, WPR) :- Patient(P), WeightPedometerReport(WPR).
has_message(L, M) :- LHCP(L), Message(M).","can_view_physiologic_reports(L, PR) :- LHCP(L), PhysiologicReport(PR), has_patient(L, P), has_physiologic_report(P, PR).",has_patient.has_physiologic_report
"""On the LHCP homepage, the LHCP views a notification center with a list of his upcoming appointments for the current date, number of physiologic data monitoring reports of his patients for the current date, number of weight or pedometer data monitoring reports of his patients for the current date, number of unread messages from his message inbox.""",LHCP(L).,"NotificationCenter(NC), Appointment(A), PhysiologicReport(PR), WeightPedometerReport(WPR), Message(M).","has_appointment(L, A) :- LHCP(L), Appointment(A).
has_patient(L, P) :- LHCP(L), Patient(P).
has_physiologic_report(P, PR) :- Patient(P), PhysiologicReport(PR).
has_weight_pedometer_report(P, WPR) :- Patient(P), WeightPedometerReport(WPR).
has_message(L, M) :- LHCP(L), Message(M).","can_view_weight_pedometer_reports(L, WPR) :- LHCP(L), WeightPedometerReport(WPR), has_patient(L, P), has_weight_pedometer_report(P, WPR).",has_patient.has_weight_pedometer_report
"""On the LHCP homepage, the LHCP views a notification center with a list of his upcoming appointments for the current date, number of physiologic data monitoring reports of his patients for the current date, number of weight or pedometer data monitoring reports of his patients for the current date, number of unread messages from his message inbox.""",LHCP(L).,"NotificationCenter(NC), Appointment(A), PhysiologicReport(PR), WeightPedometerReport(WPR), Message(M).","has_appointment(L, A) :- LHCP(L), Appointment(A).
has_patient(L, P) :- LHCP(L), Patient(P).
has_physiologic_report(P, PR) :- Patient(P), PhysiologicReport(PR).
has_weight_pedometer_report(P, WPR) :- Patient(P), WeightPedometerReport(WPR).
has_message(L, M) :- LHCP(L), Message(M).","can_view_messages(L, M) :- LHCP(L), Message(M), has_message(L, M).",has_message
"""The LHCP name, specialty, and  address are provided.""",LHCP(L).,"Name(N), Specialty(S), Address(A).","has_name(L, N) :- LHCP(L), Name(N). has_specialty(L, S) :- LHCP(L), Specialty(S). has_address(L, A) :- LHCP(L), Address(A).","can_access(L, N, S, A) :- LHCP(L), Name(N), Specialty(S), Address(A), has_name(L, N), has_specialty(L, S), has_address(L, A).",has_address
An LHCP views the number of submitted weight data monitoring reports of his patients for the current date.,"LHCP(L), Patient(P).",WeightReport(WR).,"has_patient(L, P) :- LHCP(L), Patient(P).
submitted_report(P, WR, current_date) :- Patient(P), WeightReport(WR).","can_view_report_count(L, P, current_date) :- LHCP(L), Patient(P), has_patient(L, P), submitted_report(P, WR, current_date).",has_patient.submitted_report
The public health agent can see the detail of a specific report.,PublicHealthAgent(A).,Report(R).,"assigned_to(A, R) :- PublicHealthAgent(A), Report(R).","can_see(A, R) :- PublicHealthAgent(A), Report(R), assigned_to(A, R).",assigned_to
System presents an approvel screen.,User(U).,Screen(S).,"can_access(U, S) :- User(U), Screen(S).","present_screen(U, S) :- User(U), Screen(S), can_access(U, S).",can_access
An LHCP views his iTrust homepage.,LHCP(L).,Homepage(H).,"has_homepage(L, H) :- LHCP(L), Homepage(H).","can_view(L, H) :- LHCP(L), Homepage(H), has_homepage(L, H).",has_homepage
System presents a listing of patients for whom they are a DLHCP who need care because of satisfying the one of preceding conditions.,DLHCP(D).,Patient(P).,"needs_care(P) :- Patient(P), condition_satisfied(P).","can_view_patient_listing(D, P) :- DLHCP(D), Patient(P), needs_care(P), assigned_to(D, P).",assigned_to
The LHCP opens the message to which he or she wishes to reply.,LHCP(L).,Message(M).,"can_reply_to(L, M) :- LHCP(L), Message(M).","can_open(L, M) :- LHCP(L), Message(M), can_reply_to(L, M).",can_reply_to
An HCP edits an office visit.,HCP(H).,OfficeVisit(V).,"has_access(H, V) :- HCP(H), OfficeVisit(V).","can_edit(H, V) :- HCP(H), OfficeVisit(V), has_access(H, V).",has_access
Demographic information is edited.,User(U).,DemographicInfo(DI).,"has_access_to(U, DI) :- User(U), DemographicInfo(DI).","can_edit(U, DI) :- User(U), DemographicInfo(DI), has_access_to(U, DI).",has_access_to
The patient chooses the immunization for which to report the adverse event.,Patient(P).,Immunization(I).,"has_immunization(P, I) :- Patient(P), Immunization(I).","can_report_adverse_event(P, I) :- Patient(P), Immunization(I), has_immunization(P, I).",has_immunization
System presents two lists of NDC codes or names.,System(S).,"NDC_List(L1), NDC_List(L2).","presents(S, L1) :- System(S), NDC_List(L1). presents(S, L2) :- System(S), NDC_List(L2).","can_view(L1, L2) :- System(S), NDC_List(L1), NDC_List(L2), presents(S, L1), presents(S, L2).",presents^{-1}.presents
The patient can add also a LHCP to their provider list by searching for the name possibly and possibly specialty of a LHCP.,Patient(P).,"LHCP(L), ProviderList(PL).","has_provider_list(P, PL) :- Patient(P), ProviderList(PL).","can_add_lhcp(P, L, PL) :- Patient(P), LHCP(L), ProviderList(PL), has_provider_list(P, PL).",has_provider_list
A patient views a list of his upcoming appointments.,Patient(P).,Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).","can_view(P, A) :- Patient(P), Appointment(A), has_appointment(P, A).",has_appointment
A HCP edits a laboratory procedure.,HCP(H).,LaboratoryProcedure(LP).,"has_access(H, LP) :- HCP(H), LaboratoryProcedure(LP).","can_edit(H, LP) :- HCP(H), LaboratoryProcedure(LP), has_access(H, LP).",has_access
"""A patient, patient representative, or LHCP views the number of unread messages from his message inbox.""","Patient(P), PatientRepresentative(PR), LHCP(L).","Message(M), Inbox(I).","has_inbox(P, I) :- Patient(P), Inbox(I).
has_inbox(PR, I) :- PatientRepresentative(PR), Inbox(I).
has_inbox(L, I) :- LHCP(L), Inbox(I).
unread_message(M, I) :- Message(M), Inbox(I).","can_view_unread_count(P, I) :- Patient(P), Inbox(I), has_inbox(P, I).",has_inbox
"""A patient, patient representative, or LHCP views the number of unread messages from his message inbox.""","Patient(P), PatientRepresentative(PR), LHCP(L).","Message(M), Inbox(I).","has_inbox(P, I) :- Patient(P), Inbox(I).
has_inbox(PR, I) :- PatientRepresentative(PR), Inbox(I).
has_inbox(L, I) :- LHCP(L), Inbox(I).
unread_message(M, I) :- Message(M), Inbox(I).","can_view_unread_count(PR, I) :- PatientRepresentative(PR), Inbox(I), has_inbox(PR, I).",has_inbox
"""A patient, patient representative, or LHCP views the number of unread messages from his message inbox.""","Patient(P), PatientRepresentative(PR), LHCP(L).","Message(M), Inbox(I).","has_inbox(P, I) :- Patient(P), Inbox(I).
has_inbox(PR, I) :- PatientRepresentative(PR), Inbox(I).
has_inbox(L, I) :- LHCP(L), Inbox(I).
unread_message(M, I) :- Message(M), Inbox(I).","can_view_unread_count(L, I) :- LHCP(L), Inbox(I), has_inbox(L, I).",has_inbox
"""System displays the details for the appointment in a new page, including the appointment type, the appointment date and start time, comment, and the name of either the patient (only for the user being an LHCP) or the LHCP (only for the user being a patient).""","User(U), LHCP(L), Patient(P).",Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A). is_lhcp(U, L) :- User(U), LHCP(L). is_patient(U, P) :- User(U), Patient(P).","can_view_appointment_details(U, A) :- User(U), Appointment(A), has_appointment(U, A), (is_lhcp(U, L) ; is_patient(U, P)).",has_appointment
An email notification is sent.,User(U).,Notification(N).,"receives_notification(U, N) :- User(U), Notification(N).","send_notification(U, N) :- User(U), Notification(N), receives_notification(U, N).",receives_notification
An LHCP views the number of submitted physiologic data monitoring reports of his patients for the current date.,"LHCP(L), Patient(P).",PhysiologicDataReport(R).,"has_patient(L, P) :- LHCP(L), Patient(P).
submitted_report(P, R, current_date) :- Patient(P), PhysiologicDataReport(R).","can_view_report_count(L, P, current_date) :- LHCP(L), Patient(P), has_patient(L, P), submitted_report(P, R, current_date).",has_patient.submitted_report
System presents a menu of DLHCP.,User(U).,DLHCP(DLH).,"presents_menu(U, DLH) :- User(U), DLHCP(DLH).","can_access_menu(U, DLH) :- User(U), DLHCP(DLH), presents_menu(U, DLH).",presents_menu
"""The LHCP, the patient or the representative clicks the """"Save"""" button to save the modified filter.""","LHCP(L), Patient(P), Representative(R).",Filter(F).,"has_modified_filter(L, F) :- LHCP(L), Filter(F).
has_modified_filter(P, F) :- Patient(P), Filter(F).
has_modified_filter(R, F) :- Representative(R), Filter(F).","can_save(L, F) :- LHCP(L), Filter(F), has_modified_filter(L, F).",has_modified_filter
"""The LHCP, the patient or the representative clicks the """"Save"""" button to save the modified filter.""","LHCP(L), Patient(P), Representative(R).",Filter(F).,"has_modified_filter(L, F) :- LHCP(L), Filter(F).
has_modified_filter(P, F) :- Patient(P), Filter(F).
has_modified_filter(R, F) :- Representative(R), Filter(F).","can_save(P, F) :- Patient(P), Filter(F), has_modified_filter(P, F).",has_modified_filter
"""The LHCP, the patient or the representative clicks the """"Save"""" button to save the modified filter.""","LHCP(L), Patient(P), Representative(R).",Filter(F).,"has_modified_filter(L, F) :- LHCP(L), Filter(F).
has_modified_filter(P, F) :- Patient(P), Filter(F).
has_modified_filter(R, F) :- Representative(R), Filter(F).","can_save(R, F) :- Representative(R), Filter(F), has_modified_filter(R, F).",has_modified_filter
An LHCP views his appointments in the current month.,LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).",has_appointment
An LHCP views his message inbox.,LHCP(L).,MessageInbox(I).,"has_inbox(L, I) :- LHCP(L), MessageInbox(I).","can_view(L, I) :- LHCP(L), MessageInbox(I), has_inbox(L, I).",has_inbox
A LHCP reviews the consultation.,LHCP(L).,Consultation(C).,"can_review(L, C) :- LHCP(L), Consultation(C).","review(L, C) :- LHCP(L), Consultation(C), can_review(L, C).",can_review
System presents a list of the patients for which he is allowed to report measurements.,User(U).,Patient(P).,"can_report(U, P) :- User(U), Patient(P).","present_patients(U, P) :- User(U), Patient(P), can_report(U, P).",can_report
System presents a listing of all prescription drugs for which he has been prescribed and has taken in the last 12 months.,User(U).,Drug(DR).,"prescribed_to(U, DR) :- User(U), Drug(DR).
taken_by(U, DR) :- User(U), Drug(DR).","can_view_listing(U, DR) :- User(U), Drug(DR), prescribed_to(U, DR), taken_by(U, DR).",prescribed_to
The LHCP then selects a referral to view details.,LHCP(L).,Referral(R).,"has_access(L, R) :- LHCP(L), Referral(R).","can_view(L, R) :- LHCP(L), Referral(R), has_access(L, R).",has_access
The user can select an appointment from the calendar to read the appointment's details.,User(U).,Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A).","can_read_appointment(U, A) :- User(U), Appointment(A), has_appointment(U, A).",has_appointment
"""A patient views his appointments in the current month together with his office visit dates, prescription dates, and lab procedure dates of the current month on a calendar for the current month.""",Patient(P).,"Appointment(A), OfficeVisit(O), Prescription(PR), LabProcedure(L), Calendar(C).","has_appointment(P, A) :- Patient(P), Appointment(A), date_in_current_month(A). has_office_visit(P, O) :- Patient(P), OfficeVisit(O), date_in_current_month(O). has_prescription(P, PR) :- Patient(P), Prescription(PR), date_in_current_month(PR). has_lab_procedure(P, L) :- Patient(P), LabProcedure(L), date_in_current_month(L). on_calendar(P, C) :- Patient(P), Calendar(C).","can_view_calendar(P, C, A, O, PR, L) :- Patient(P), Calendar(C), Appointment(A), OfficeVisit(O), Prescription(PR), LabProcedure(L), on_calendar(P, C), has_appointment(P, A), has_office_visit(P, O), has_prescription(P, PR), has_lab_procedure(P, L).",has_lab_procedure
System presents an automatically-calculated value of BMI calculated based on the formula.,System(S).,BMI(B).,"calculates_bmi(S, B) :- System(S), BMI(B).","can_present(S, B) :- System(S), BMI(B), calculates_bmi(S, B).",calculates_bmi
The user opens his upcoming appointment list.,User(U).,AppointmentList(AL).,"has_upcoming_appointment_list(U, AL) :- User(U), AppointmentList(AL).","can_open(U, AL) :- User(U), AppointmentList(AL), has_upcoming_appointment_list(U, AL).",has_upcoming_appointment_list
The patient is then able to write a textual description.,Patient(P).,TextualDescription(TD).,"can_write(P, TD) :- Patient(P), TextualDescription(TD).","write(P, TD) :- Patient(P), TextualDescription(TD), can_write(P, TD).",can_write
The event is logged  to verify his changes.,User(U).,"Event(E), Change(C).","made_change(U, C) :- User(U), Change(C).","can_log_event(U, E, C) :- User(U), Event(E), Change(C), made_change(U, C).",made_change
the HCP is returned in the specific office visit record to verify his changes.,HCP(H).,OfficeVisitRecord(V).,"has_record(H, V) :- HCP(H), OfficeVisitRecord(V).","can_verify(H, V) :- HCP(H), OfficeVisitRecord(V), has_record(H, V).",has_record
System presents a text box to enter the details of the consultation.,User(U).,Consultation(C).,"can_access_consultation(U, C) :- User(U), Consultation(C).","can_enter_details(U, C) :- User(U), Consultation(C), can_access_consultation(U, C).",can_access_consultation
then The representative clicks the send button.,Representative(R).,Button(B).,"can_click(R, B) :- Representative(R), Button(B).","click(R, B) :- Representative(R), Button(B), can_click(R, B).",can_click
"The patient opens the message to which he or she wishes to reply,",Patient(P).,Message(M).,"has_access_to(P, M) :- Patient(P), Message(M).","can_open(P, M) :- Patient(P), Message(M), has_access_to(P, M).",has_access_to
and The patient clicks the reply link above the message text.,Patient(P).,"Message(M), ReplyLink(L).","has_message(P, M) :- Patient(P), Message(M). has_reply_link(M, L) :- Message(M), ReplyLink(L).","can_click(P, L) :- Patient(P), ReplyLink(L), has_message(P, M), has_reply_link(M, L).",has_message.has_reply_link
"A patient renews the patient's expired prescriptions (i.e., prescriptions' end dates are earlier than the current date)",Patient(P).,Prescription(PR).,"has_prescription(P, PR) :- Patient(P), Prescription(PR).","can_renew(P, PR) :- Patient(P), Prescription(PR), has_prescription(P, PR), end_date(PR, ED), current_date(CD), ED < CD.",has_prescription
and therefore A patient finds the LHCPs who earlier wrote the patient's expired prescriptions (it is assumed that the doctors who wrote prescriptions are all LHCPs so no LHCP checks on the prescription-writing doctors are needed).,"Patient(P), LHCP(L).",Prescription(PR).,"wrote_prescription(L, P, PR) :- LHCP(L), Patient(P), Prescription(PR). expired(PR) :- Prescription(PR).","can_find(P, L) :- Patient(P), LHCP(L), wrote_prescription(L, P, PR), expired(PR).",wrote_prescription^{-1}
The HCP confirms their selection.,HCP(H).,Selection(S).,"has_selection(H, S) :- HCP(H), Selection(S).","can_confirm(H, S) :- HCP(H), Selection(S), has_selection(H, S).",has_selection
The LHCP confirms his input.,LHCP(L).,Input(I).,"has_input(L, I) :- LHCP(L), Input(I).","can_confirm(L, I) :- LHCP(L), Input(I), has_input(L, I).",has_input
The patient may type a last name or partial last name,Patient(P).,LastName(L).,"can_type(P, L) :- Patient(P), LastName(L).","may_type(P, L) :- Patient(P), LastName(L), can_type(P, L).",can_type
The patient optionally reduces the list of choices by providing the specialty.,Patient(P).,Specialty(S).,"has_specialty_choice(P, S) :- Patient(P), Specialty(S).","reduce_choices(P, S) :- Patient(P), Specialty(S), has_specialty_choice(P, S).",has_specialty_choice
"The representative opens the message to which he or she wishes to reply,",Representative(R).,Message(M).,"wants_to_reply(R, M) :- Representative(R), Message(M).","can_open(R, M) :- Representative(R), Message(M), wants_to_reply(R, M).",wants_to_reply
The administrator modify the hospital name in an existing entry.,Administrator(A).,Hospital(H).,"has_entry(A, H) :- Administrator(A), Hospital(H).","can_modify_hospital_name(A, H) :- Administrator(A), Hospital(H), has_entry(A, H).",has_entry
The patient clicks the send button.,Patient(P).,Button(B).,"can_click(P, B) :- Patient(P), Button(B).","click(P, B) :- Patient(P), Button(B), can_click(P, B).",can_click
The HCP confirms their input.,HCP(H).,Input(I).,"has_input(H, I) :- HCP(H), Input(I).","can_confirm(H, I) :- HCP(H), Input(I), has_input(H, I).",has_input
The LHCP clicks the send button.,LHCP(L).,Button(B).,"can_click(L, B) :- LHCP(L), Button(B).","click(L, B) :- LHCP(L), Button(B), can_click(L, B).",can_click
The editor may correct the form,Editor(E).,Form(F).,"has_permission(E, F) :- Editor(E), Form(F).","can_correct(E, F) :- Editor(E), Form(F), has_permission(E, F).",has_permission
The editor add more information.,Editor(E).,Information(I).,"can_edit(E, I) :- Editor(E), Information(I).","add_information(E, I) :- Editor(E), Information(I), can_edit(E, I).",can_edit
The health care personnel confirms their selection.,HealthCarePersonnel(H).,Selection(S).,"has_selection(H, S) :- HealthCarePersonnel(H), Selection(S).","can_confirm(H, S) :- HealthCarePersonnel(H), Selection(S), has_selection(H, S).",has_selection
The LHCP clicks the send button.,LHCP(L).,Button(B).,"has_access(L, B) :- LHCP(L), Button(B).","can_click(L, B) :- LHCP(L), Button(B), has_access(L, B).",has_access
"The user selects a message from the list to read by clicking the ""Read"" link beside the row for the message,",User(U).,Message(M).,"has_access_to(U, M) :- User(U), Message(M), row_for_message(M).","can_read(U, M) :- User(U), Message(M), has_access_to(U, M).",has_access_to
