natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,crampton
"The patient chooses a specific referral from the list to view complete details about the referral: sending HCP name and specialty, receiving HCP name and specialty, time generated, priority, office visit date, and notes.",Patient(P).,Referral(R).,"has_referral(P, R) :- Patient(P), Referral(R).","can_view_referral_details(P, R) :- Patient(P), Referral(R), has_referral(P, R).",has_referral
The user can select an appointment from the calendar to read the appointment's details .,User(U).,Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A).","can_read_appointment(U, A) :- User(U), Appointment(A), has_appointment(U, A).",has_appointment
A sending HCP cancels a previously sent patient referral .,HCP(Sender).,"Patient(P), Referral(R).","sent_referral(Sender, P, R) :- HCP(Sender), Patient(P), Referral(R).","can_cancel_referral(Sender, P, R) :- HCP(Sender), Patient(P), Referral(R), sent_referral(Sender, P, R).",sent_referral
"The iTrust user (Lab Technician, patient, or HCP) has been authenticated in the iTrust Medical Records system (UC3).",User(U).,System(S).,"authenticated(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated(U, S).",authenticated
"A patient or personal health representative can answer any of the following questions relative to a previous (in UC9, S1) office visit according to Data Format 6.13.","Patient(P), PersonalHealthRepresentative(R).","OfficeVisit(V), Question(Q).","is_previous_visit(V) :- OfficeVisit(V).
has_question(V, Q) :- OfficeVisit(V), Question(Q).
belongs_to(P, V) :- Patient(P), OfficeVisit(V).
represents(R, P) :- PersonalHealthRepresentative(R), Patient(P).","can_answer(P, V, Q) :- Patient(P), OfficeVisit(V), Question(Q), belongs_to(P, V), is_previous_visit(V), has_question(V, Q).",belongs_to.has_question
"A patient or personal health representative can answer any of the following questions relative to a previous (in UC9, S1) office visit according to Data Format 6.13.","Patient(P), PersonalHealthRepresentative(R).","OfficeVisit(V), Question(Q).","is_previous_visit(V) :- OfficeVisit(V).
has_question(V, Q) :- OfficeVisit(V), Question(Q).
belongs_to(P, V) :- Patient(P), OfficeVisit(V).
represents(R, P) :- PersonalHealthRepresentative(R), Patient(P).","can_answer(R, V, Q) :- PersonalHealthRepresentative(R), OfficeVisit(V), Question(Q), represents(R, P), belongs_to(P, V), is_previous_visit(V), has_question(V, Q).",represents.belongs_to.has_question
The HCP has authenticated himself or herself in the iTrust Medical Records system(UC3).,HCP(H).,System(S).,"authenticated_in(H, S) :- HCP(H), System(S).","can_access(H, S) :- HCP(H), System(S), authenticated_in(H, S).",authenticated_in
"The receiving HCP then selects a referral to view details and is presented with the name and specialty of the sending HCP, the patient's name, the referral notes, the referral priority, the office visit date with a link to the office visit, and the time the referral was created.","ReceivingHCP(RHCP), SendingHCP(SHCP), Patient(P).","Referral(REF), OfficeVisit(OV).","has_referral(RHCP, REF) :- ReceivingHCP(RHCP), Referral(REF). sent_by(REF, SHCP) :- Referral(REF), SendingHCP(SHCP). refers_to(REF, P) :- Referral(REF), Patient(P). associated_with(REF, OV) :- Referral(REF), OfficeVisit(OV).","can_view_details(RHCP, REF) :- ReceivingHCP(RHCP), Referral(REF), has_referral(RHCP, REF).",has_referral
The LHCP types an invalid MID and is prompted to try again.,LHCP(L).,MID(M).,"invalid_mid(L, M) :- LHCP(L), MID(M).","prompt_to_retry(L, M) :- LHCP(L), MID(M), invalid_mid(L, M).",invalid_mid
"The user selects a message from the message inbox or outbox to read by clicking the Read link beside the row for the message, and then the message subject, the name of the sender, the name of the the recipient, timestamp, and the message text shall be displayed in a new page.","User(U), Message(M).",Message(M).,"has_access_to(U, M) :- User(U), Message(M), (in_inbox(U, M) ; in_outbox(U, M)).","can_read(U, M) :- User(U), Message(M), has_access_to(U, M).",has_access_to
"For the diagnostic information which a patient can restrict viewing, he or she can choose to enable designated licensed health care professionals, possibly and possibly other licensed health care professionals, possibly and possibly no one.","Patient(P), LicensedHealthCareProfessional(LHCP).",DiagnosticInfo(DI).,"owns(P, DI) :- Patient(P), DiagnosticInfo(DI). designated(P, LHCP) :- Patient(P), LicensedHealthCareProfessional(LHCP).","can_view(LHCP, DI) :- LicensedHealthCareProfessional(LHCP), DiagnosticInfo(DI), Patient(P), owns(P, DI), designated(P, LHCP).",designated^{-1}.owns
A patient views the details of his or her referrals .,Patient(P).,Referral(R).,"has_referral(P, R) :- Patient(P), Referral(R).","can_view(P, R) :- Patient(P), Referral(R), has_referral(P, R).",has_referral
"A sending HCP cancels a previously sent patient referral by visiting the office visit page, viewing the details of a previously sent patient referral , and choosing cancel.",HCP(H).,"Patient(P), Referral(R).","sent_referral(H, P, R) :- HCP(H), Patient(P), Referral(R).","can_cancel_referral(H, P, R) :- HCP(H), Patient(P), Referral(R), sent_referral(H, P, R).",sent_referral
An HCP can remove a previously created lab procedure .,HCP(H).,LabProcedure(LP).,"created_by(LP, H) :- LabProcedure(LP), HCP(H).","can_remove(H, LP) :- HCP(H), LabProcedure(LP), created_by(LP, H).",created_by^{-1}
A patient chooses to view their patient specific instructions by selecting a link named Patient Specific Instructions under the View heading in the left hand menu .,Patient(P).,PatientSpecificInstructions(I).,"has_access(P, I) :- Patient(P), PatientSpecificInstructions(I).","can_view(P, I) :- Patient(P), PatientSpecificInstructions(I), has_access(P, I).",has_access
"The user has successfully changed his or her password (UC3, S2).",User(U).,Password(PW).,"has_password(U, PW) :- User(U), Password(PW).","can_change_password(U, PW) :- User(U), Password(PW), has_password(U, PW).",has_password
The health care professional does not confirm the selection and is prompted to try again.,HealthCareProfessional(H).,Selection(S).,"prompted_to_retry(H, S) :- HealthCareProfessional(H), Selection(S), not confirmed_selection(H, S).","can_proceed(H, S) :- HealthCareProfessional(H), Selection(S), confirmed_selection(H, S).",confirmed_selection
An HCP chooses to enter or edit personal health information.,HCP(H).,PersonalHealthInfo(PHI).,"has_access(H, PHI) :- HCP(H), PersonalHealthInfo(PHI).","can_enter_or_edit(H, PHI) :- HCP(H), PersonalHealthInfo(PHI), has_access(H, PHI).",has_access
The iTrust user (patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated(U, S).",authenticated
A sending HCP views a list of previously sent patient referrals .,HCP(S).,"Referral(R), Patient(P).","sent_referral(S, P, R) :- HCP(S), Patient(P), Referral(R).","can_view_referrals(S, R) :- HCP(S), Referral(R), sent_referral(S, _, R).",sent_referral
Only the applicable input entries (those whose corresponding data types of the patient are specified to be under monitoring) are displayed to the patient.,Patient(P).,"InputEntry(E), DataType(D).","has_data_type(P, D) :- Patient(P), DataType(D).
under_monitoring(P, D) :- Patient(P), DataType(D).
applicable_entry(E, D) :- InputEntry(E), DataType(D).","displayed_to_patient(P, E) :- Patient(P), InputEntry(E), applicable_entry(E, D), under_monitoring(P, D).",under_monitoring.applicable_entry^{-1}
An LHCP wishes to reply to a message.,LHCP(L).,Message(M).,"has_message(L, M) :- LHCP(L), Message(M).","can_reply(L, M) :- LHCP(L), Message(M), has_message(L, M).",has_message
The HCP is prompted to confirm that he or she wishes to remove the lab procedure.,HCP(H).,LabProcedure(L).,"has_authority(H, L) :- HCP(H), LabProcedure(L).","can_remove(H, L) :- HCP(H), LabProcedure(L), has_authority(H, L).",has_authority
"The LHCP's name, specialty, and address are provided.",LHCP(L).,"Name(N), Specialty(S), Address(A).","has_name(L, N) :- LHCP(L), Name(N). has_specialty(L, S) :- LHCP(L), Specialty(S). has_address(L, A) :- LHCP(L), Address(A).","can_access(L, N, S, A) :- LHCP(L), Name(N), Specialty(S), Address(A), has_name(L, N), has_specialty(L, S), has_address(L, A).",has_address
"The patient's assigned MID and a secret key (the initial password) are personally provided to the user, with which the user can reset his or her password.","User(U), Patient(P).","MID(M), SecretKey(SK).","has_mid(P, M) :- Patient(P), MID(M). has_secret_key(P, SK) :- Patient(P), SecretKey(SK). assigned_to(U, P) :- User(U), Patient(P).","can_reset_password(U, P) :- User(U), Patient(P), assigned_to(U, P), has_mid(P, M), has_secret_key(P, SK).",assigned_to
"The patient chooses 'My Diagnoses and is presented with a listing of all their own diagnoses, sorted by diagnosis date (more recent first).",Patient(P).,Diagnosis(DI).,"has_diagnosis(P, DI) :- Patient(P), Diagnosis(DI).","can_view_diagnoses(P, DI) :- Patient(P), Diagnosis(DI), has_diagnosis(P, DI).",has_diagnosis
"The patient, UAP, or personal representative enters a systolic blood pressure outside the range 40-240 or a diastolic blood pressure outside the range 40-150.","Patient(P), UAP(U), PersonalRepresentative(PR).",BloodPressureReading(BPR).,"enters_reading(S, BPR) :- (Patient(S); UAP(S); PersonalRepresentative(S)), BloodPressureReading(BPR).","invalid_reading(S, BPR) :- enters_reading(S, BPR), (systolic_out_of_range(BPR); diastolic_out_of_range(BPR)). systolic_out_of_range(BPR) :- BloodPressureReading(BPR), systolic(BPR, SBP), (SBP < 40; SBP > 240). diastolic_out_of_range(BPR) :- BloodPressureReading(BPR), diastolic(BPR, DBP), (DBP < 40; DBP > 150).",enters_reading
The HCP selects a patient to deactivate.,HCP(H).,Patient(P).,"selected_to_deactivate(H, P) :- HCP(H), Patient(P).","can_deactivate(H, P) :- HCP(H), Patient(P), selected_to_deactivate(H, P).",selected_to_deactivate
The LHCP is able to view the comprehensive patient report  from a list of his or her requests.,LHCP(L).,PatientReport(PR).,"has_request(L, PR) :- LHCP(L), PatientReport(PR).","can_view(L, PR) :- LHCP(L), PatientReport(PR), has_request(L, PR).",has_request
"A user (a patient, patient representative, or LHCP) views the number of unread messages from his or her message inbox.",User(U).,"Message(M), Inbox(I).","has_inbox(U, I) :- User(U), Inbox(I).
has_message(I, M) :- Inbox(I), Message(M).
unread_message(M) :- Message(M).","can_view_unread_count(U, I) :- User(U), Inbox(I), has_inbox(U, I).",has_inbox
"Then, this person's electronic records are accessible via the iTrust Medical Records system.",Person(P).,ElectronicRecord(ER).,"has_record(P, ER) :- Person(P), ElectronicRecord(ER).","can_access_system(P, ER) :- Person(P), ElectronicRecord(ER), has_record(P, ER).",has_record
The HCP types an invalid date and is prompted to try again.,HCP(H).,Date(D).,"types_invalid_date(H, D) :- HCP(H), Date(D).","prompt_to_try_again(H, D) :- HCP(H), Date(D), types_invalid_date(H, D).",types_invalid_date
The patient can choose to click this link.,Patient(P).,Link(L).,"has_choice(P, L) :- Patient(P), Link(L).","can_click(P, L) :- Patient(P), Link(L), has_choice(P, L).",has_choice
The patient and receiving HCP receive a message (UC30) indicating that the referral was canceled.,"Patient(P), HCP(H).","Message(M), Referral(R).","receives_message(P, M) :- Patient(P), Message(M).
receives_message(H, M) :- HCP(H), Message(M).
message_content(M, R) :- Message(M), Referral(R).
referral_canceled(R) :- Referral(R).","can_receive_cancel_message(P, H, M, R) :- Patient(P), HCP(H), Message(M), Referral(R), receives_message(P, M), receives_message(H, M), message_content(M, R), referral_canceled(R).",receives_message.message_content
The LHCP chooses to view all patients with which he or she has ever had an office visit with.,LHCP(L).,Patient(P).,"has_office_visit(L, P) :- LHCP(L), Patient(P).","can_view(L, P) :- LHCP(L), Patient(P), has_office_visit(L, P).",has_office_visit
The user is asked to try again.,User(U).,Action(A).,"asked_to_try_again(U, A) :- User(U), Action(A).","can_retry(U, A) :- User(U), Action(A), asked_to_try_again(U, A).",asked_to_try_again
"The HCP provides the dosage in milligrams, the start and end date for the prescription, and any special instructions.",HCP(H).,"Prescription(PR), Dosage(DOS), StartDate(SD), EndDate(ED), SpecialInstructions(SI).","provides_dosage(H, PR, DOS) :- HCP(H), Prescription(PR), Dosage(DOS).
provides_start_date(H, PR, SD) :- HCP(H), Prescription(PR), StartDate(SD).
provides_end_date(H, PR, ED) :- HCP(H), Prescription(PR), EndDate(ED).
provides_instructions(H, PR, SI) :- HCP(H), Prescription(PR), SpecialInstructions(SI).","can_provide_prescription_details(H, PR, DOS, SD, ED, SI) :- HCP(H), Prescription(PR), Dosage(DOS), StartDate(SD), EndDate(ED), SpecialInstructions(SI), provides_dosage(H, PR, DOS), provides_start_date(H, PR, SD), provides_end_date(H, PR, ED), provides_instructions(H, PR, SI).",provides_instructions
The patient selects an LHCP from his or her provider list.,Patient(P).,LHCP(L).,"has_provider(P, L) :- Patient(P), LHCP(L).","can_select(P, L) :- Patient(P), LHCP(L), has_provider(P, L).",has_provider
The HCP has selected a medication prescribed from a pull down list.,HCP(H).,Medication(M).,"selected_medication(H, M) :- HCP(H), Medication(M).","can_select_medication(H, M) :- HCP(H), Medication(M), selected_medication(H, M).",selected_medication
The HCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,HCP(H).,System(S).,"authenticated_in(H, S) :- HCP(H), System(S).","can_access(H, S) :- HCP(H), System(S), authenticated_in(H, S).",authenticated_in
"The LHCP views a list of requests he or she has made for reports, with the status and pertinent information about the requests.",LHCP(L).,"ReportRequest(RR), Report(R).","has_made_request(L, RR) :- LHCP(L), ReportRequest(RR).","can_view_request_list(L, RR) :- LHCP(L), ReportRequest(RR), has_made_request(L, RR).",has_made_request
The iTrust user (admin) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).",authenticated_in
A patient or patient representative wishes to reply to a message.,"Patient(P), PatientRepresentative(R).",Message(M).,"has_message(P, M) :- Patient(P), Message(M).
has_message(R, M) :- PatientRepresentative(R), Message(M).","can_reply(P, M) :- Patient(P), Message(M), has_message(P, M).",has_message
A patient or patient representative wishes to reply to a message.,"Patient(P), PatientRepresentative(R).",Message(M).,"has_message(P, M) :- Patient(P), Message(M).
has_message(R, M) :- PatientRepresentative(R), Message(M).","can_reply(R, M) :- PatientRepresentative(R), Message(M), has_message(R, M).",has_message
A patient can request to schedule an appointment with an LHCP .,Patient(P).,"LHCP(L), Appointment(A).","can_request_appointment(P, L, A) :- Patient(P), LHCP(L), Appointment(A).","request_schedule(P, L, A) :- can_request_appointment(P, L, A).",can_request_appointment
"When a person logs into iTrust, if he or she is a personal representative, they view their own records or those of the person or people they are representing.","Person(P), PersonalRepresentative(PR).",Record(R).,"represents(PR, P) :- PersonalRepresentative(PR), Person(P).","can_view(P, R) :- Person(P), Record(R), owns(P, R). can_view(PR, R) :- PersonalRepresentative(PR), Record(R), represents(PR, P), owns(P, R).",owns
An HCP chooses to document  or edit  an office visit.,HCP(H).,OfficeVisit(V).,"has_access(H, V) :- HCP(H), OfficeVisit(V).","can_document_or_edit(H, V) :- HCP(H), OfficeVisit(V), has_access(H, V).",has_access
An administrator can manage a standardized list of appointment types .,Administrator(A).,AppointmentType(AT).,"has_authority(A, AT) :- Administrator(A), AppointmentType(AT).","can_manage(A, AT) :- Administrator(A), AppointmentType(AT), has_authority(A, AT).",has_authority
"The patient selects the relevant physical services he is interested in, and is then presented with the top five hospitals with that experience.",Patient(P).,"PhysicalService(S), Hospital(H).","interested_in(P, S) :- Patient(P), PhysicalService(S).
has_experience(H, S) :- Hospital(H), PhysicalService(S).","present_top_five_hospitals(P, S, H) :- Patient(P), PhysicalService(S), Hospital(H), interested_in(P, S), has_experience(H, S), rank_top_five(H, S).",interested_in.has_experience^{-1}
"The patient selects the relevant physical services he is interested in, and is then presented with the top five hospitals with that experience.",Patient(P).,"PhysicalService(S), Hospital(H).","interested_in(P, S) :- Patient(P), PhysicalService(S).
has_experience(H, S) :- Hospital(H), PhysicalService(S).","rank_top_five(H, S) :- Hospital(H), PhysicalService(S), has_experience(H, S).",has_experience
"The user selects an office visit from the calendar to read its details by clicking the Read Details link beside or below the ICD-9CM code (i.e., diagnose) displayed for the visit, and then the details for the visit shall be displayed in a new page, including date of office visit, note text, diagnoses (i.e., ICD-9CM codes), medical procedures performed (i.e., CPT code) , lab procedures ordered (LOINC code, see Data Format 6.11), medications prescribed (i.e., NDC, see Data Format 6.6), immunizations given (i.e., CPT Code, see UC15, S1), and the name of the doctor who prescribed the medication.","User(U), Doctor(D).","OfficeVisit(V), ICD9CMCode(ICD), CPTCode(CPT), LOINCCode(LOINC), NDC(NDC), ImmunizationCPT(ICPT).","has_visit(U, V) :- User(U), OfficeVisit(V). has_diagnosis(V, ICD) :- OfficeVisit(V), ICD9CMCode(ICD). has_procedure(V, CPT) :- OfficeVisit(V), CPTCode(CPT). has_lab_order(V, LOINC) :- OfficeVisit(V), LOINCCode(LOINC). has_medication(V, NDC) :- OfficeVisit(V), NDC(NDC). has_immunization(V, ICPT) :- OfficeVisit(V), ImmunizationCPT(ICPT). prescribed_by(V, D) :- OfficeVisit(V), Doctor(D).","can_read_details(U, V) :- User(U), OfficeVisit(V), has_visit(U, V).",has_visit
A patient views a list of his or her referrals.,Patient(P).,ReferralList(L).,"has_referral(P, L) :- Patient(P), ReferralList(L).","can_view(P, L) :- Patient(P), ReferralList(L), has_referral(P, L).",has_referral
A sending HCP edits a previously sent patient referral .,HCP(H).,Referral(R).,"sent_referral(H, R) :- HCP(H), Referral(R).","can_edit(H, R) :- HCP(H), Referral(R), sent_referral(H, R).",sent_referral
A fake email is sent to the patient or representative alerting the patient or representative that a new message reply has arrived.,"Patient(P), Representative(R).",Message(M).,"has_message(P, M) :- Patient(P), Message(M).
has_message(R, M) :- Representative(R), Message(M).","send_fake_email(P, M) :- Patient(P), Message(M), has_message(P, M).",has_message
A fake email is sent to the patient or representative alerting the patient or representative that a new message reply has arrived.,"Patient(P), Representative(R).",Message(M).,"has_message(P, M) :- Patient(P), Message(M).
has_message(R, M) :- Representative(R), Message(M).","send_fake_email(R, M) :- Representative(R), Message(M), has_message(R, M).",has_message
"The patient chooses My Expired Prescription Reports and is presented with a list of the patient's expired prescriptions , sorted by start date (the later date is ranked earlier closer to the top).",Patient(P).,Prescription(PR).,"has_prescription(P, PR) :- Patient(P), Prescription(PR).","can_view_expired_prescriptions(P, PR) :- Patient(P), Prescription(PR), has_prescription(P, PR), expired(PR).",has_prescription
A patient whose at least one physiologic data type is specified to be under monitoring chooses to report their physiologic data.,Patient(P).,PhysiologicDataType(PDT).,"under_monitoring(P, PDT) :- Patient(P), PhysiologicDataType(PDT).","can_report(P, PDT) :- Patient(P), PhysiologicDataType(PDT), under_monitoring(P, PDT).",under_monitoring
An HCP chooses to view received referrals.,HCP(H).,Referral(R).,"received_referral(H, R) :- HCP(H), Referral(R).","can_view_referral(H, R) :- HCP(H), Referral(R), received_referral(H, R).",received_referral
The patient chooses the immunization for which to report the adverse event.,Patient(P).,Immunization(I).,"has_immunization(P, I) :- Patient(P), Immunization(I).","can_report_adverse_event(P, I) :- Patient(P), Immunization(I), has_immunization(P, I).",has_immunization
Only the name and email are provided.,User(U).,"Name(N), Email(E).","has_name(U, N) :- User(U), Name(N). has_email(U, E) :- User(U), Email(E).","can_access_info(U, N, E) :- User(U), Name(N), Email(E), has_name(U, N), has_email(U, E).",has_email
The iTrust user (LHCP or patient) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).",authenticated_in
The iTrust user has authenticated himself or herself in the iTrust Medical Records system(UC3).,User(U).,System(S).,"authenticated(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated(U, S).",authenticated
"The administrator will store (1) the ICD-9CM code (The International Statistical Classification of Diseases and Related Health Problems (most commonly known by the abbreviation ICD) provides codes to classify diseases and a wide variety of signs, symptoms, abnormal findings, complaints, social circumstances and external causes of injury or disease.",Administrator(A).,ICD9CM_Code(C).,"can_store(A, C) :- Administrator(A), ICD9CM_Code(C).","store(A, C) :- can_store(A, C).",can_store
"The input data, a timestamp, and the fact that the status is self-reported are saved.",User(U).,"Data(D), Timestamp(T), Status(S).","has_input(U, D) :- User(U), Data(D). has_timestamp(U, T) :- User(U), Timestamp(T). has_status(U, S) :- User(U), Status(S), self_reported(S).","can_save(U, D, T, S) :- User(U), Data(D), Timestamp(T), Status(S), has_input(U, D), has_timestamp(U, T), has_status(U, S).",has_status
The user (LHCP) selects a patient from the list of requested reports.,User(LHCP).,"Patient(P), Report(R).","requested_report(LHCP, R) :- User(LHCP), Report(R).","can_select_patient(LHCP, P, R) :- User(LHCP), Patient(P), Report(R), requested_report(LHCP, R).",requested_report
The administrator types an invalid name and is prompted to try again.,Administrator(A).,Name(N).,"has_entered(A, N) :- Administrator(A), Name(N).","prompt_to_retry(A, N) :- Administrator(A), Name(N), has_entered(A, N), not valid_name(N).",has_entered
The Patient requests the closest hospitals so that only nearby hospitals are presented.,Patient(P).,Hospital(H).,"is_nearby(P, H) :- Patient(P), Hospital(H).","can_request(P, H) :- Patient(P), Hospital(H), is_nearby(P, H).",is_nearby
"After a message is sent, the LHCP is directed to to his or her message outbox.",LHCP(L).,Message(M).,"sent_message(L, M) :- LHCP(L), Message(M).","can_access_outbox(L, M) :- LHCP(L), Message(M), sent_message(L, M).",sent_message
The patient has authenticated himself or herself in the iTrust Medical Records system (UC3).,Patient(P).,System(S).,"authenticated(P, S) :- Patient(P), System(S).","can_access(P, S) :- Patient(P), System(S), authenticated(P, S).",authenticated
"The Lab Technician sees a list of all lab procedures assigned to him or her that have a status of received, followed by a list of lab procedures that remain in transit.",LabTechnician(LT).,LabProcedure(LP).,"assigned_to(LP, LT) :- LabProcedure(LP), LabTechnician(LT).
status(LP, 'received') :- LabProcedure(LP).
status(LP, 'in_transit') :- LabProcedure(LP).","can_view_received(LT, LP) :- LabTechnician(LT), LabProcedure(LP), assigned_to(LP, LT), status(LP, 'received').",assigned_to^{-1}
"The Lab Technician sees a list of all lab procedures assigned to him or her that have a status of received, followed by a list of lab procedures that remain in transit.",LabTechnician(LT).,LabProcedure(LP).,"assigned_to(LP, LT) :- LabProcedure(LP), LabTechnician(LT).
status(LP, 'received') :- LabProcedure(LP).
status(LP, 'in_transit') :- LabProcedure(LP).","can_view_in_transit(LT, LP) :- LabTechnician(LT), LabProcedure(LP), assigned_to(LP, LT), status(LP, 'in_transit').",assigned_to^{-1}
The iTrust user has authenticated himself or herself in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated(U, S).",authenticated
The HCP can add the prescription to the list of medications (UC37).,HCP(H).,"Prescription(PR), MedicationList(ML).","has_access(H, ML) :- HCP(H), MedicationList(ML).","can_add_prescription(H, PR, ML) :- HCP(H), Prescription(PR), MedicationList(ML), has_access(H, ML).",has_access
The patient chooses one or more drug(s) for which to report the adverse event.,Patient(P).,Drug(DR).,"chooses_drug(P, DR) :- Patient(P), Drug(DR).","can_report_adverse_event(P, DR) :- Patient(P), Drug(DR), chooses_drug(P, DR).",chooses_drug
"The patient may sort the list of referrals by receiving HCP name, time generated, possibly and possibly priority.",Patient(P).,"Referral(R), HCP(H).","has_referral(P, R) :- Patient(P), Referral(R).","can_sort(P, R) :- Patient(P), Referral(R), has_referral(P, R).",has_referral
The Patient chooses to request an appointment with an LHCP.,Patient(P).,LHCP(L).,"requests_appointment(P, L) :- Patient(P), LHCP(L).","can_request_appointment(P, L) :- Patient(P), LHCP(L), requests_appointment(P, L).",requests_appointment
"The health care personnel may enter or edit personal health information including editing historical values from Data Format 6.4.1, 6.4.2, 6.4.3, and 6.4.4, immunizations, and office visit information (date, diagnoses, medication, name of attending physician but not notes, laboratory procedures), family history (the MIDs of the patient's mother and father), Body Mass Index (BMI) , and drug allergies .",HealthCarePersonnel(H).,"Patient(P), PersonalHealthInfo(I), DataFormat(F), Immunization(Im), OfficeVisitInfo(O), FamilyHistory(FH), BodyMassIndex(B), DrugAllergy(DA).","has_access_to(H, I) :- HealthCarePersonnel(H), PersonalHealthInfo(I), Patient(P), is_info_of(I, P).","can_enter_or_edit(H, I) :- HealthCarePersonnel(H), PersonalHealthInfo(I), has_access_to(H, I), includes_data(I, F), includes_immunization(I, Im), includes_office_visit(I, O), includes_family_history(I, FH), includes_bmi(I, B), includes_drug_allergy(I, DA), not includes_notes(I), not includes_lab_procedures(I).",has_access_to
The administrator has authenticated himself or herself in the iTrust Medical Records system (UC2).,Administrator(A).,System(S).,"authenticated_in(A, S) :- Administrator(A), System(S).","can_access(A, S) :- Administrator(A), System(S), authenticated_in(A, S).",authenticated_in
Demographic information is entered possibly and possibly edited .,User(U).,DemographicInfo(DI).,"has_access(U, DI) :- User(U), DemographicInfo(DI).","can_enter_or_edit(U, DI) :- User(U), DemographicInfo(DI), has_access(U, DI).",has_access
"The HCP chooses Potential Prescription-Renewals and is presented with a list of patients  that satisfy all of the three conditions: (1) patients for whom the HCP is a DLHCP, (2) special-diagnosis-history patients , (3) patients whose prescriptions will expire within 7 days (including the 7th day) from the current date.",HCP(H).,"Patient(P), Prescription(PR).","is_dlhcp(H, P) :- HCP(H), Patient(P).
has_special_diagnosis(P) :- Patient(P).
prescription_expires_soon(P, PR) :- Patient(P), Prescription(PR).","can_view_potential_renewals(H, P) :- HCP(H), Patient(P), is_dlhcp(H, P), has_special_diagnosis(P), prescription_expires_soon(P, PR).",is_dlhcp
A sending HCP views a list of previously sent patient referrals.,HCP(S).,"Referral(R), Patient(P).","sent_referral(S, R, P) :- HCP(S), Referral(R), Patient(P).","can_view_referrals(S, R, P) :- HCP(S), Referral(R), Patient(P), sent_referral(S, R, P).",sent_referral
An LHCP has authenticated him or herself in the iTrust Medical Records system (UC3).,LHCP(L).,System(S).,"authenticated_in(L, S) :- LHCP(L), System(S).","can_access(L, S) :- LHCP(L), System(S), authenticated_in(L, S).",authenticated_in
The patient can select a diagnosis and will be presented with the LHCPs in the patient's living area (based upon the first three numbers of their zip code) who have handled this diagnosis in the last three years.,"Patient(P), LHCP(L).",Diagnosis(D).,"lives_in_area(P, Area) :- Patient(P), zip_prefix(P, Area).
handled_diagnosis(L, D) :- LHCP(L), Diagnosis(D), treated(L, D, Time), current_year(Year), Time >= Year - 3.
same_area(L, Area) :- LHCP(L), practices_in(L, Area).","can_view_lhcps(P, L, D) :- Patient(P), LHCP(L), Diagnosis(D), lives_in_area(P, Area), same_area(L, Area), handled_diagnosis(L, D).",lives_in_area.same_area^{-1}.handled_diagnosis
A patient has authenticated him or herself in the iTrust Medical Records system (UC2).,Patient(P).,System(S).,"authenticated(P, S) :- Patient(P), System(S).","can_access(P, S) :- Patient(P), System(S), authenticated(P, S).",authenticated
An LHCP views the number of submitted weight or pedometer data monitoring reports of his or her patients for the current date.,LHCP(L).,"Patient(P), MonitoringReport(R).","has_patient(L, P) :- LHCP(L), Patient(P).
submitted_report(P, R, current_date) :- Patient(P), MonitoringReport(R).","can_view_report_count(L, P, current_date) :- LHCP(L), Patient(P), has_patient(L, P), submitted_report(P, R, current_date).",has_patient.submitted_report
An LHCP chooses to view the physiologic data monitoring details.,LHCP(L).,PhysiologicData(PD).,"has_access_to(L, PD) :- LHCP(L), PhysiologicData(PD).","can_view(L, PD) :- LHCP(L), PhysiologicData(PD), has_access_to(L, PD).",has_access_to
An LHCP has authenticated him or herself in the iTrust Medical Records system (UC2).,LHCP(L).,System(S).,"authenticated_in(L, S) :- LHCP(L), System(S).","can_access(L, S) :- LHCP(L), System(S), authenticated_in(L, S).",authenticated_in
The iTrust HCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,HCP(H).,System(S).,"authenticated_in(H, S) :- HCP(H), System(S).","can_access(H, S) :- HCP(H), System(S), authenticated_in(H, S).",authenticated_in
Patient specific instructions are listed for a patient.,Patient(P).,Instruction(I).,"has_instruction(P, I) :- Patient(P), Instruction(I).","can_list_instructions(P, I) :- Patient(P), Instruction(I), has_instruction(P, I).",has_instruction
The information is view or editied .,User(U).,Information(I).,"has_access(U, I) :- User(U), Information(I).","can_view(U, I) :- User(U), Information(I), has_access(U, I). can_edit(U, I) :- User(U), Information(I), has_access(U, I).",has_access
