natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,fong
"""If, in the Basic Flow, the actor enters an invalid name possibly and possibly password, the system displays an error message.""",Actor(A).,"System(S), ErrorMessage(E).",enters_invalid_name(A) :- Actor(A). enters_invalid_password(A) :- Actor(A).,"displays_error_message(S, A, E) :- System(S), Actor(A), ErrorMessage(E), enters_invalid_name(A), enters_invalid_password(A).",System
The actor enters his or her name and password.,Actor(A).,"Name(N), Password(PW).","enters_name(A, N) :- Actor(A), Name(N). enters_password(A, PW) :- Actor(A), Password(PW).","can_authenticate(A) :- Actor(A), enters_name(A, N), enters_password(A, PW).",(Actor ∧ <enters_name>(T) ∧ <enters_password>(T))
"""If the system is unable to communicate with the Billing System, the system will attempt to re-send the request after a specified period.""",System(S).,"BillingSystem(B), Request(R).","unable_to_communicate(S, B) :- System(S), BillingSystem(B).","resend_request(S, R) :- System(S), Request(R), BillingSystem(B), unable_to_communicate(S, B).",(System ∧ <unable_to_communicate>(BillingSystem))
"The Professor can either resolve the schedule conflict (i.e., by canceling his selection to teach one of the course offerings)",Professor(P).,CourseOffering(C).,"teaches(P, C) :- Professor(P), CourseOffering(C).","can_resolve_conflict(P) :- Professor(P), teaches(P, C1), teaches(P, C2), C1 != C2, not (conflict_resolved(P)).",(Professor ∧ <teaches>(C1 != C2) ∧ <teaches>(T))
The Professor can cancel the operation,Professor(P).,Operation(O).,"can_cancel(P, O) :- Professor(P), Operation(O).","can_cancel(P, O) :- Professor(P), Operation(O).",Professor
any selections will be lost,User(U).,Selection(S).,"has_selection(U, S) :- User(U), Selection(S).","lose_selection(U, S) :- User(U), Selection(S), has_selection(U, S).",(User ∧ <has_selection>((Selection ∧ owner)))
the use case ends.,,,,,Professor
"For each student on the list, the Professor enters a grade: A, B, C, D, F, or I.",Professor(P).,"Student(S), Grade(G).",on_list(S) :- Student(S).,"can_enter_grade(P, S, G) :- Professor(P), Student(S), Grade(G), on_list(S).",System
The system records the student’s grade for the course offering.,"System(S), Student(ST).","CourseOffering(CO), Grade(G).","enrolled_in(ST, CO) :- Student(ST), CourseOffering(CO).","can_record_grade(S, ST, CO, G) :- System(S), Student(ST), CourseOffering(CO), Grade(G), enrolled_in(ST, CO).",Registrar
The Registrar can then enter a different id number,Registrar(R).,IDNumber(ID).,,"can_enter(R, ID) :- Registrar(R), IDNumber(ID).",Registrar
"The Registrar can cancel the operation, at which point the use case ends.",Registrar(R).,Operation(O).,,"can_cancel(R, O) :- Registrar(R), Operation(O).",(Student ∧ ¬<enrolled_in>T)
The Student can either select a different course offering and,Student(S).,CourseOffering(CO).,"enrolled_in(S, CO) :- Student(S), CourseOffering(CO).","can_select(S, CO) :- Student(S), CourseOffering(CO), not enrolled_in(S, CO).",(Student ∧ <owns_schedule>((Schedule ∧ owner)))
the use case continues,,,,,Student
"The Student save the schedule, as is (see Save a Schedule subflow)",Student(S).,Schedule(SC).,"owns_schedule(S, SC) :- Student(S), Schedule(SC).","can_save(S, SC) :- Student(S), Schedule(SC), owns_schedule(S, SC).",(Registrar ∧ ¬<decides_not_to_delete>T)
The Student can cancel the operation,Student(S).,Operation(O).,,"can_cancel(S, O) :- Student(S), Operation(O).",User
"If, in the Delete A Student sub-flow, the Registrar decides not to delete the student,",Registrar(R).,Student(S).,"decides_not_to_delete(R, S) :- Registrar(R), Student(S).","can_delete(R, S) :- Registrar(R), Student(S), not decides_not_to_delete(R, S).",(User ∧ <can_restart>((Flow ∧ owner)))
the delete is cancelled,User(U).,Resource(R).,"has_permission(U, R, delete) :- User(U), Resource(R).","can_cancel_delete(U, R) :- User(U), Resource(R), has_permission(U, R, delete).",Student
the Basic Flow is re-started at the beginning.,User(U).,Flow(F).,"can_restart(U, F) :- User(U), Flow(F).","restart_flow(U, F) :- User(U), Flow(F), can_restart(U, F).",(Student ∧ <owns_schedule>((Schedule ∧ owner)))
The Student acknowledges the error.,Student(S).,Error(E).,"acknowledges(S, E) :- Student(S), Error(E).","can_acknowledge(S, E) :- Student(S), Error(E).",(Professor ∧ <assigned_to>((CourseOffering ∧ owner)))
The system must prevent students from changing any schedules other than their own,Student(S).,Schedule(SC).,"owns_schedule(S, SC) :- Student(S), Schedule(SC).","can_change_schedule(S, SC) :- Student(S), Schedule(SC), owns_schedule(S, SC).",(Student ∧ registration_closed)
The system must prevent professors from modifying assigned course offerings for other professors.,"Professor(P1), Professor(P2).",CourseOffering(CO).,"assigned_to(P1, CO) :- Professor(P1), CourseOffering(CO).","can_modify(P1, CO) :- Professor(P1), CourseOffering(CO), assigned_to(P1, CO), not (Professor(P2), P2 != P1, assigned_to(P2, CO)).",Registrar
"When the use case starts, if it is determined that registration for the current semester has been closed, a message is displayed to the Student.",Student(S).,Message(M).,registration_closed(S) :- Student(S).,"display_message(S, M) :- Student(S), Message(M), registration_closed(S).",Student
"If it is, then a message is displayed to the Registrar",Registrar(R).,Message(M).,is_condition_met(C) :- Condition(C).,"display_message(R, M) :- Registrar(R), Message(M), is_condition_met(C).",(System ∧ <sends_transaction>((BillingSystem ∧ owner)))
The system calculates the tuition owed by each student for his current semester schedule,Student(S).,"Semester(SE), Course(C), Tuition(T).","enrolled_in(S, C, SE) :- Student(S), Course(C), Semester(SE).","calculate_tuition(S, T, SE) :- Student(S), Tuition(T), Semester(SE), enrolled_in(S, _, SE).",Professor
The system sends a transaction to the Billing System.,System(S).,BillingSystem(B).,"sends_transaction(S, B) :- System(S), BillingSystem(B).","can_send_transaction(S, B) :- System(S), BillingSystem(B), sends_transaction(S, B).",System
"When the use case starts, if it is determined that registration for the current semester has been closed, a message is displayed to the Professor",Professor(P).,"Semester(S), Message(M).",registration_closed(S) :- Semester(S).,"display_message(P, M) :- Professor(P), Message(M), registration_closed(S), current_semester(S).",System
The system retrieves a list of available course offerings from the Course Catalog System,"User(U), System(S).",CourseOffering(CO).,available(CO) :- CourseOffering(CO).,"can_retrieve(S, CO) :- System(S), CourseOffering(CO), available(CO).",(System ∧ <has_access>(Database))
The system displays the list to the Student.,"System(S), Student(ST).",List(L).,"has_access(ST, L) :- Student(ST), List(L).","can_display(S, ST, L) :- System(S), Student(ST), List(L), has_access(ST, L).",System
The new system will access course information from the legacy database,System(S).,"Course(C), Database(DB).","has_access(S, DB) :- System(S), Database(DB).","can_access_course_info(S, C, DB) :- System(S), Course(C), Database(DB), has_access(S, DB).",(Student ∧ <acknowledges>((ErrorMessage ∧ owner)))
The new system will not update access course information from the legacy database.,System(NewSystem).,CourseInfo(CI).,from_legacy_database(CI) :- CourseInfo(CI).,"can_update(NewSystem, CI) :- System(NewSystem), CourseInfo(CI), not from_legacy_database(CI).",Error: Head has no args
The Student acknowledges the error message,Student(S).,ErrorMessage(EM).,"acknowledges(S, EM) :- Student(S), ErrorMessage(EM).","can_acknowledge(S, EM) :- Student(S), ErrorMessage(EM), acknowledges(S, EM).",
"the use case terminates.""",,,,terminate_use_case :- true.,
