natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,carminati
The Student selects the course offerings to add from the list of available course offerings.,Student(S).,CourseOffering(CO).,available(CO) :- CourseOffering(CO).,"can_select(S, CO) :- Student(S), CourseOffering(CO), available(CO).","Student(?S) ∧ CourseOffering(?CO) ∧ available(?CO) => can_select(?S,?CO)"
The system will also indicate which are the conflicting courses.,User(U).,Course(C).,"conflicts_with(C1, C2) :- Course(C1), Course(C2).","indicate_conflicts(U, C1, C2) :- User(U), Course(C1), Course(C2), conflicts_with(C1, C2).","User(?U) ∧ Course(?C1) ∧ Course(?C2) ∧ conflicts_with(?C1,?C2) => indicate_conflicts(?U,?C1,?C2)"
This use case allows a Professor to select the course offerings from the course catalog for the courses that he or she is eligible for and wishes to teach in the upcoming semester.,Professor(P).,"Course(C), CourseOffering(O).","eligible_for(P, C) :- Professor(P), Course(C).
wishes_to_teach(P, C) :- Professor(P), Course(C).
part_of_catalog(C) :- Course(C).
upcoming_semester(O) :- CourseOffering(O).","can_select(P, O) :- Professor(P), CourseOffering(O), Course(C), eligible_for(P, C), wishes_to_teach(P, C), part_of_catalog(C), upcoming_semester(O).","Professor(?P) ∧ CourseOffering(?O) ∧ Course(?C) ∧ eligible_for(?P,?C) ∧ wishes_to_teach(?P,?C) ∧ part_of_catalog(?C) ∧ upcoming_semester(?O) => can_select(?P,?O)"
The system then adds the Student to the selected course offering.,"System(S), Student(ST).",CourseOffering(CO).,"enrolled_in(ST, CO) :- Student(ST), CourseOffering(CO).","can_add(S, ST, CO) :- System(S), Student(ST), CourseOffering(CO).","System(?S) ∧ Student(?ST) ∧ CourseOffering(?CO) => can_add(?S,?ST,?CO)"
"""If the schedule contains “enrolled in” course offerings, the Student must be removed from the course offering.""",Student(S).,CourseOffering(CO).,"enrolled_in(S, CO) :- Student(S), CourseOffering(CO).","remove_from_course(S, CO) :- Student(S), CourseOffering(CO), enrolled_in(S, CO).","Student(?S) ∧ CourseOffering(?CO) ∧ enrolled_in(?S,?CO) => remove_from_course(?S,?CO)"
"""This includes adding, modifying, and deleting professors from the system.""",Administrator(A).,Professor(P).,is_administrator(A) :- Administrator(A).,"can_add(A, P) :- Administrator(A), Professor(P). can_modify(A, P) :- Administrator(A), Professor(P). can_delete(A, P) :- Administrator(A), Professor(P).","Administrator(?A) ∧ Professor(?P). can_modify(A,?P) => can_add(?A,?P)"
The Registrar makes the desired changes to the professor information.,Registrar(R).,ProfessorInfo(PI).,,"can_modify(R, PI) :- Registrar(R), ProfessorInfo(PI).","Registrar(?R) ∧ ProfessorInfo(?PI) => can_modify(?R,?PI)"
Professors must be able to access the on-line system to indicate which courses they will be teaching.,Professor(P).,"Course(C), System(S).","teaches(P, C) :- Professor(P), Course(C).","can_access(P, S) :- Professor(P), System(S). can_indicate(P, C) :- Professor(P), Course(C), teaches(P, C).","Professor(?P) ∧ System(?S). can_indicate(P,?C) => can_access(?P,?S)"
"""If a course fills up during the actual registration process, the student must be notified of the change before submitting the schedule for processing.""",Student(S).,Course(C).,fills_up(C) :- Course(C).,"must_notify(S, C) :- Student(S), Course(C), fills_up(C).","Student(?S) ∧ Course(?C) ∧ fills_up(?C) => must_notify(?S,?C)"
Students cannot register for course offerings after registration for the current semester has been closed.,Student(S).,CourseOffering(CO).,registration_closed(CO) :- CourseOffering(CO).,"can_register(S, CO) :- Student(S), CourseOffering(CO), not registration_closed(CO).","Student(?S) ∧ CourseOffering(?CO) ∧ not registration_closed(?CO) => can_register(?S,?CO)"
The system prompts the Registrar to confirm the deletion of the student.,"Registrar(R), System(S).",Student(ST).,"is_registrar_for(R, ST) :- Registrar(R), Student(ST).","prompt_to_confirm_deletion(S, R, ST) :- System(S), Registrar(R), Student(ST), is_registrar_for(R, ST).","System(?S) ∧ Registrar(?R) ∧ Student(?ST) ∧ is_registrar_for(?R,?ST) => prompt_to_confirm_deletion(?S,?R,?ST)"
The system retrieves and displays the professor information.,User(U).,Professor(P).,"has_access(U, P) :- User(U), Professor(P).","can_retrieve_display(U, P) :- User(U), Professor(P), has_access(U, P).","User(?U) ∧ Professor(?P) ∧ has_access(?U,?P) => can_retrieve_display(?U,?P)"
Students must be able to access the system during this time to add or drop courses.,Student(S).,"System(SY), Course(C).","enrolled_in(S, C) :- Student(S), Course(C).","can_access(S, SY) :- Student(S), System(SY), during_time(T). can_add_course(S, C) :- Student(S), Course(C), can_access(S, SY). can_drop_course(S, C) :- Student(S), Course(C), can_access(S, SY), enrolled_in(S, C).","Student(?S) ∧ System(?SY) ∧ during_time(?T). can_add_course(S,?C) => can_access(?S,?SY)"
The system deletes the Schedule.,System(S).,Schedule(SC).,,"can_delete(S, SC) :- System(S), Schedule(SC).","System(?S) ∧ Schedule(?SC) => can_delete(?S,?SC)"
"""For each course offering, the system closes all course offerings.""",System(S).,CourseOffering(CO).,,"can_close(S, CO) :- System(S), CourseOffering(CO).","System(?S) ∧ CourseOffering(?CO) => can_close(?S,?CO)"
The Close Registration processing cannot be performed if registration is in progress.,User(U).,Registration(R).,in_progress(R) :- Registration(R).,"can_close_registration(U, R) :- User(U), Registration(R), not in_progress(R).","User(?U) ∧ Registration(?R) ∧ not in_progress(?R) => can_close_registration(?U,?R)"
The Registrar makes the desired changes to the student information.,Registrar(R).,"Student(S), Information(I).","has_information(S, I) :- Student(S), Information(I).","can_change(R, S, I) :- Registrar(R), Student(S), Information(I), has_information(S, I).","Registrar(?R) ∧ Student(?S) ∧ Information(?I) ∧ has_information(?S,?I) => can_change(?R,?S,?I)"
The Registrar enters the student id.,Registrar(R).,Student(S).,"has_student_id(S, ID) :- Student(S).","can_enter(R, S, ID) :- Registrar(R), Student(S), has_student_id(S, ID).","Registrar(?R) ∧ Student(?S) ∧ has_student_id(?S,?ID) => can_enter(?R,?S,?ID)"
"""The Billing System will send the bill to the students, which will include a copy of their final schedule.""","BillingSystem(BS), Student(S).","Bill(B), FinalSchedule(FS).","has_final_schedule(S, FS) :- Student(S), FinalSchedule(FS).","can_send_bill(BS, S, B, FS) :- BillingSystem(BS), Student(S), Bill(B), FinalSchedule(FS), has_final_schedule(S, FS).","BillingSystem(?BS) ∧ Student(?S) ∧ Bill(?B) ∧ FinalSchedule(?FS) ∧ has_final_schedule(?S,?FS) => can_send_bill(?BS,?S,?B,?FS)"
"""Once the student has made his or her selections, the system creates a schedule for the Student containing the selected course offerings.""",Student(S).,CourseOffering(CO).,"has_selection(S, CO) :- Student(S), CourseOffering(CO).","can_create_schedule(S, CO) :- Student(S), CourseOffering(CO), has_selection(S, CO).","Student(?S) ∧ CourseOffering(?CO) ∧ has_selection(?S,?CO) => can_create_schedule(?S,?CO)"
"""If the course offerings do not have at least three students at this point (some may have been added as a result of leveling), then the system cancels the course offering.""",System(S).,CourseOffering(CO).,"has_student(CO, St) :- CourseOffering(CO), Student(St).","can_cancel(S, CO) :- System(S), CourseOffering(CO), count_students(CO, Count), Count < 3.","System(?S) ∧ CourseOffering(?CO) ∧ count_students(?CO,?Count) ∧ ?Count < 3 => can_cancel(?S,?CO)"
"""If the systems find a schedule conflict when trying to establish the course offerings the Professor should take, the system will display an error message indicating that a schedule conflict has occurred.""",Professor(P).,"Course(C), Schedule(S).","has_schedule_conflict(P, C) :- Professor(P), Course(C), Schedule(S).","display_error(P) :- Professor(P), Course(C), has_schedule_conflict(P, C).","Professor(?P) ∧ Course(?C) ∧ has_schedule_conflict(?P,?C) => display_error(?P)"
"""If the use case was successful, the student information is added, updated, or deleted from the system.""",User(U).,StudentInfo(SI).,"has_access(U, SI) :- User(U), StudentInfo(SI).","can_modify(U, SI) :- User(U), StudentInfo(SI), has_access(U, SI), use_case_successful(U, SI).","User(?U) ∧ StudentInfo(?SI) ∧ has_access(?U,?SI) ∧ use_case_successful(?U,?SI) => can_modify(?U,?SI)"
"""If, in the Basic Flow, the Professor did not teach any course offerings in the previous semester, the system will display an error message.""",Professor(P).,"Semester(S), CourseOffering(C).","previous_semester(S) :- Semester(S). taught(P, C, S) :- Professor(P), CourseOffering(C), Semester(S).","display_error(P) :- Professor(P), previous_semester(S), not taught(P, _, S).","Professor(?P) ∧ previous_semester(?S) ∧ not taught(?P,?_,?S) => display_error(?P)"
"""If, in the Basic Flow, the actor enters an invalid name possibly and possibly password, the system displays an error message.""",Actor(A).,"System(S), ErrorMessage(E).",enters_invalid_name(A) :- Actor(A). enters_invalid_password(A) :- Actor(A).,"displays_error_message(S, A, E) :- System(S), Actor(A), ErrorMessage(E), enters_invalid_name(A), enters_invalid_password(A).","System(?S) ∧ Actor(?A) ∧ ErrorMessage(?E) ∧ enters_invalid_name(?A) ∧ enters_invalid_password(?A) => displays_error_message(?S,?A,?E)"
The actor enters his or her name and password.,Actor(A).,"Name(N), Password(PW).","enters_name(A, N) :- Actor(A), Name(N). enters_password(A, PW) :- Actor(A), Password(PW).","can_authenticate(A) :- Actor(A), enters_name(A, N), enters_password(A, PW).","Actor(?A) ∧ enters_name(?A,?N) ∧ enters_password(?A,?PW) => can_authenticate(?A)"
"""If the system is unable to communicate with the Billing System, the system will attempt to re-send the request after a specified period.""",System(S).,"BillingSystem(B), Request(R).","unable_to_communicate(S, B) :- System(S), BillingSystem(B).","resend_request(S, R) :- System(S), Request(R), BillingSystem(B), unable_to_communicate(S, B).","System(?S) ∧ Request(?R) ∧ BillingSystem(?B) ∧ unable_to_communicate(?S,?B) => resend_request(?S,?R)"
"The Professor can either resolve the schedule conflict (i.e., by canceling his selection to teach one of the course offerings)",Professor(P).,CourseOffering(C).,"teaches(P, C) :- Professor(P), CourseOffering(C).","can_resolve_conflict(P) :- Professor(P), teaches(P, C1), teaches(P, C2), C1 != C2, not (conflict_resolved(P)).","Professor(?P) ∧ teaches(?P,?C1) ∧ teaches(?P,?C2) ∧ ?C1 != ?C2 ∧ (conflict_resolved(?P)) => can_resolve_conflict(?P)"
The Professor can cancel the operation,Professor(P).,Operation(O).,"can_cancel(P, O) :- Professor(P), Operation(O).","can_cancel(P, O) :- Professor(P), Operation(O).","Professor(?P) ∧ Operation(?O) => can_cancel(?P,?O)"
any selections will be lost,User(U).,Selection(S).,"has_selection(U, S) :- User(U), Selection(S).","lose_selection(U, S) :- User(U), Selection(S), has_selection(U, S).","User(?U) ∧ Selection(?S) ∧ has_selection(?U,?S) => lose_selection(?U,?S)"
the use case ends.,,,,,"Professor(?P) ∧ Student(?S) ∧ Grade(?G) ∧ on_list(?S) => can_enter_grade(?P,?S,?G)"
"For each student on the list, the Professor enters a grade: A, B, C, D, F, or I.",Professor(P).,"Student(S), Grade(G).",on_list(S) :- Student(S).,"can_enter_grade(P, S, G) :- Professor(P), Student(S), Grade(G), on_list(S).","System(?S) ∧ Student(?ST) ∧ CourseOffering(?CO) ∧ Grade(?G) ∧ enrolled_in(?ST,?CO) => can_record_grade(?S,?ST,?CO,?G)"
The system records the student’s grade for the course offering.,"System(S), Student(ST).","CourseOffering(CO), Grade(G).","enrolled_in(ST, CO) :- Student(ST), CourseOffering(CO).","can_record_grade(S, ST, CO, G) :- System(S), Student(ST), CourseOffering(CO), Grade(G), enrolled_in(ST, CO).","Registrar(?R) ∧ IDNumber(?ID) => can_enter(?R,?ID)"
The Registrar can then enter a different id number,Registrar(R).,IDNumber(ID).,,"can_enter(R, ID) :- Registrar(R), IDNumber(ID).","Registrar(?R) ∧ Operation(?O) => can_cancel(?R,?O)"
"The Registrar can cancel the operation, at which point the use case ends.",Registrar(R).,Operation(O).,,"can_cancel(R, O) :- Registrar(R), Operation(O).","Student(?S) ∧ CourseOffering(?CO) ∧ not enrolled_in(?S,?CO) => can_select(?S,?CO)"
The Student can either select a different course offering and,Student(S).,CourseOffering(CO).,"enrolled_in(S, CO) :- Student(S), CourseOffering(CO).","can_select(S, CO) :- Student(S), CourseOffering(CO), not enrolled_in(S, CO).","Student(?S) ∧ Schedule(?SC) ∧ owns_schedule(?S,?SC) => can_save(?S,?SC)"
the use case continues,,,,,"Student(?S) ∧ Operation(?O) => can_cancel(?S,?O)"
"The Student save the schedule, as is (see Save a Schedule subflow)",Student(S).,Schedule(SC).,"owns_schedule(S, SC) :- Student(S), Schedule(SC).","can_save(S, SC) :- Student(S), Schedule(SC), owns_schedule(S, SC).","Registrar(?R) ∧ Student(?S) ∧ not decides_not_to_delete(?R,?S) => can_delete(?R,?S)"
The Student can cancel the operation,Student(S).,Operation(O).,,"can_cancel(S, O) :- Student(S), Operation(O).","User(?U) ∧ Resource(?R) ∧ has_permission(?U,?R,?delete) => can_cancel_delete(?U,?R)"
"If, in the Delete A Student sub-flow, the Registrar decides not to delete the student,",Registrar(R).,Student(S).,"decides_not_to_delete(R, S) :- Registrar(R), Student(S).","can_delete(R, S) :- Registrar(R), Student(S), not decides_not_to_delete(R, S).","User(?U) ∧ Flow(?F) ∧ can_restart(?U,?F) => restart_flow(?U,?F)"
the delete is cancelled,User(U).,Resource(R).,"has_permission(U, R, delete) :- User(U), Resource(R).","can_cancel_delete(U, R) :- User(U), Resource(R), has_permission(U, R, delete).","Student(?S) ∧ Error(?E) => can_acknowledge(?S,?E)"
the Basic Flow is re-started at the beginning.,User(U).,Flow(F).,"can_restart(U, F) :- User(U), Flow(F).","restart_flow(U, F) :- User(U), Flow(F), can_restart(U, F).","Student(?S) ∧ Schedule(?SC) ∧ owns_schedule(?S,?SC) => can_change_schedule(?S,?SC)"
The Student acknowledges the error.,Student(S).,Error(E).,"acknowledges(S, E) :- Student(S), Error(E).","can_acknowledge(S, E) :- Student(S), Error(E).","Professor(?P1) ∧ CourseOffering(?CO) ∧ assigned_to(?P1,?CO) ∧ ?(Professor(P2), P2 != ?P1, assigned_to(P2, CO)) => can_modify(?P1,?CO)"
The system must prevent students from changing any schedules other than their own,Student(S).,Schedule(SC).,"owns_schedule(S, SC) :- Student(S), Schedule(SC).","can_change_schedule(S, SC) :- Student(S), Schedule(SC), owns_schedule(S, SC).","Student(?S) ∧ Message(?M) ∧ registration_closed(?S) => display_message(?S,?M)"
The system must prevent professors from modifying assigned course offerings for other professors.,"Professor(P1), Professor(P2).",CourseOffering(CO).,"assigned_to(P1, CO) :- Professor(P1), CourseOffering(CO).","can_modify(P1, CO) :- Professor(P1), CourseOffering(CO), assigned_to(P1, CO), not (Professor(P2), P2 != P1, assigned_to(P2, CO)).","Registrar(?R) ∧ Message(?M) ∧ is_condition_met(?C) => display_message(?R,?M)"
"When the use case starts, if it is determined that registration for the current semester has been closed, a message is displayed to the Student.",Student(S).,Message(M).,registration_closed(S) :- Student(S).,"display_message(S, M) :- Student(S), Message(M), registration_closed(S).","Student(?S) ∧ Tuition(?T) ∧ Semester(?SE) ∧ enrolled_in(?S,?_,?SE) => calculate_tuition(?S,?T,?SE)"
"If it is, then a message is displayed to the Registrar",Registrar(R).,Message(M).,is_condition_met(C) :- Condition(C).,"display_message(R, M) :- Registrar(R), Message(M), is_condition_met(C).","System(?S) ∧ BillingSystem(?B) ∧ sends_transaction(?S,?B) => can_send_transaction(?S,?B)"
The system calculates the tuition owed by each student for his current semester schedule,Student(S).,"Semester(SE), Course(C), Tuition(T).","enrolled_in(S, C, SE) :- Student(S), Course(C), Semester(SE).","calculate_tuition(S, T, SE) :- Student(S), Tuition(T), Semester(SE), enrolled_in(S, _, SE).","Professor(?P) ∧ Message(?M) ∧ registration_closed(?S) ∧ current_semester(?S) => display_message(?P,?M)"
The system sends a transaction to the Billing System.,System(S).,BillingSystem(B).,"sends_transaction(S, B) :- System(S), BillingSystem(B).","can_send_transaction(S, B) :- System(S), BillingSystem(B), sends_transaction(S, B).","System(?S) ∧ CourseOffering(?CO) ∧ available(?CO) => can_retrieve(?S,?CO)"
"When the use case starts, if it is determined that registration for the current semester has been closed, a message is displayed to the Professor",Professor(P).,"Semester(S), Message(M).",registration_closed(S) :- Semester(S).,"display_message(P, M) :- Professor(P), Message(M), registration_closed(S), current_semester(S).","System(?S) ∧ Student(?ST) ∧ List(?L) ∧ has_access(?ST,?L) => can_display(?S,?ST,?L)"
The system retrieves a list of available course offerings from the Course Catalog System,"User(U), System(S).",CourseOffering(CO).,available(CO) :- CourseOffering(CO).,"can_retrieve(S, CO) :- System(S), CourseOffering(CO), available(CO).","System(?S) ∧ Course(?C) ∧ Database(?DB) ∧ has_access(?S,?DB) => can_access_course_info(?S,?C,?DB)"
The system displays the list to the Student.,"System(S), Student(ST).",List(L).,"has_access(ST, L) :- Student(ST), List(L).","can_display(S, ST, L) :- System(S), Student(ST), List(L), has_access(ST, L).","System(?NewSystem) ∧ CourseInfo(?CI) ∧ not from_legacy_database(?CI) => can_update(?NewSystem,?CI)"
The new system will access course information from the legacy database,System(S).,"Course(C), Database(DB).","has_access(S, DB) :- System(S), Database(DB).","can_access_course_info(S, C, DB) :- System(S), Course(C), Database(DB), has_access(S, DB).","Student(?S) ∧ ErrorMessage(?EM) ∧ acknowledges(?S,?EM) => can_acknowledge(?S,?EM)"
The new system will not update access course information from the legacy database.,System(NewSystem).,CourseInfo(CI).,from_legacy_database(CI) :- CourseInfo(CI).,"can_update(NewSystem, CI) :- System(NewSystem), CourseInfo(CI), not from_legacy_database(CI).",true => ?term in ?ate_use_case
The Student acknowledges the error message,Student(S).,ErrorMessage(EM).,"acknowledges(S, EM) :- Student(S), ErrorMessage(EM).","can_acknowledge(S, EM) :- Student(S), ErrorMessage(EM), acknowledges(S, EM).",
"the use case terminates.""",,,,terminate_use_case :- true.,
