xacml,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,carminati
"<Policy PolicyId=""RPSlist.16.0.5.0"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-chair</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">create</AttributeValue>
    <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Permit"" RuleId=""RPSlist.16.0.5.0.r.1"">
                        <Target/>
                    </Rule>
                </Policy>",User(U).,Resource(R).,"has_role(U, ""pc-chair"") :- User(U).","can_access(U, R, ""create"") :- User(U), Resource(R), has_role(U, ""pc-chair"").","User(?U) ∧ Paper(?P) ∧ has_role(?U,'pc-member') ∧ not is_conflicted(?U,?P) ∧ is_eq_subjUserId_resUserId(?U,?P). can_access(U,?P,'create') => can_access(?U,?P,'read')"
"<Policy PolicyId=""RPSlist.16.0.5.1"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">discussion</AttributeValue>
    <AttributeDesignator AttributeId=""phase"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
    <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Permit"" RuleId=""RPSlist.16.0.5.1.r.1"">
                        <Target/>
                    </Rule>
                </Policy>","User(U), Role(R).","Resource(Res), Phase(PH).","has_role(U, R) :- User(U), Role(R).","can_access(U, Res, PH, read) :- User(U), Resource(Res), Phase(PH), has_role(U, pc-member), PH = discussion.","User(?U) ∧ Resource(?Res) ∧ has_role(?U,?pc_member) => can_access(?U,?Res,?create)"
"<Policy PolicyId=""RPSlist.16.0.5.2"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">create</AttributeValue>
    <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Permit"" RuleId=""RPSlist.16.0.5.2.r.1"">
                        <Target/>
                    </Rule>
                </Policy>",Subject(S).,Object(O).,"has_role(S, pc_member) :- Subject(S).","can_access(S, O, create) :- Subject(S), Object(O), has_role(S, pc_member).","User(?U) ∧ Resource(?R) ∧ has_role(?U,?pc_chair) ∧ isEq_subjUserId_resUserId(?U,?R) => can_create(?U,?R)"
"<Policy PolicyId=""RPSlist.16.0.5.3.0"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                        <Target>
                            <AnyOf>
<AllOf>
    <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
        <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc_chair</AttributeValue>
        <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
    </Match>
</AllOf>
                            </AnyOf>
                            <AnyOf>
<AllOf>
    <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
        <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
        <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
    </Match>
</AllOf>
<AllOf>
    <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
        <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">create</AttributeValue>
        <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
    </Match>
</AllOf>
                            </AnyOf>
                        </Target>
                        <Rule Effect=""Permit"" RuleId=""RPSlist.16.0.5.3.0.r.1"">
                            <Target/>
                        </Rule>
                    </Policy>",User(U).,Resource(R).,"has_role(U, 'pc_chair') :- User(U).","can_access(U, R, 'read') :- User(U), Resource(R), has_role(U, 'pc_chair'). can_access(U, R, 'create') :- User(U), Resource(R), has_role(U, 'pc_chair').","User(?U) ∧ Paper(?P) ∧ has_role(?U,""pc-chair"") ∧ not_conflicted(?U) => can_access(?U,?P)"
"<Policy PolicyId=""RPSlist.16.0.5.3.2"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                        <Target>
                            <AnyOf>
<AllOf>
    <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
        <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
        <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
    </Match>
    <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
        <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
        <AttributeDesignator AttributeId=""isMeeting"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
    </Match>
</AllOf>
                            </AnyOf>
                            <AnyOf>
<AllOf>
    <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
        <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
        <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
    </Match>
</AllOf>
                            </AnyOf>
                        </Target>
                        <Rule Effect=""Permit"" RuleId=""RPSlist.16.0.5.3.2.r.1"">
                            <Target/>
                        </Rule>
                    </Policy>",User(U).,Meeting(M).,"has_role(U, ""pc-member"") :- User(U).
is_meeting(M) :- Meeting(M).","can_read(U, M) :- User(U), Meeting(M), has_role(U, ""pc-member""), is_meeting(M).","Subject(?S) ∧ Object(?O) ∧ is_conflicted(?S,?O) => deny(?S,?O)"
"<Policy PolicyId=""RPSlist.17.0.0"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-chair</AttributeValue>
<AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Permit"" RuleId=""RPSlist.17.0.0.r.1"">
                    <Target/>
                </Rule>
            </Policy>",User(U).,Resource(R).,"has_role(U, ""pc-chair"") :- User(U).","can_access(U, R) :- User(U), Resource(R), has_role(U, ""pc-chair"").","PCMember(?S) ∧ Resource(?R) ∧ not isConflicted(?S,?R) ∧ ?(isEq_subjUserId_resUserId(S, R); phase(R, discussion); (ismeet in ?g(R), hasSubmittedReviewForResPaper(S, R)); subject(S, R)) => can_read(?S,?R)"
"<Policy PolicyId=""RPSlist.17.0.1.0"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-chair</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">false</AttributeValue>
    <AttributeDesignator AttributeId=""isConflicted"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Permit"" RuleId=""RPSlist.17.0.1.0.r.1"">
                        <Target/>
                    </Rule>
                </Policy>",User(U).,Paper(P).,"has_role(U, ""pc-chair"") :- User(U).
not_conflicted(U) :- User(U).","can_access(U, P) :- User(U), Paper(P), has_role(U, ""pc-chair""), not_conflicted(U).","User(?U) ∧ Resource(?R) ∧ has_role(?U,""pc-chair"") => can_access(?U,?R,""create"")"
"<Policy PolicyId=""RPSlist.17.0.1.1"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-chair</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
    <AttributeDesignator AttributeId=""isSubjectsMeeting"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc_chair</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
    <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Permit"" RuleId=""RPSlist.17.0.1.1.r.1"">
                        <Target/>
                    </Rule>
                </Policy>",Subject(S).,Object(O).,"has_role(S, 'pc-chair') :- Subject(S). has_role(S, 'pc_chair') :- Subject(S). is_subjects_meeting(S, 'true') :- Subject(S).","can_access(S, O, 'read') :- Subject(S), Object(O), (has_role(S, 'pc-chair') ; has_role(S, 'pc_chair')), is_subjects_meeting(S, 'true').","User(?U) ∧ Resource(?Res) ∧ has_role(?U,""pc-member"") => can_create(?U,?Res)"
"<Policy PolicyId=""RPSlist.17.0.1.3"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
    <AttributeDesignator AttributeId=""isConflicted"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Deny"" RuleId=""RPSlist.17.0.1.3.r.1"">
                        <Target/>
                    </Rule>
                </Policy>",User(U).,Resource(R).,"is_conflicted(U, R) :- User(U), Resource(R).","deny_access(U, R) :- User(U), Resource(R), is_conflicted(U, R).","User(?U) ∧ Object(?O) ∧ Role(?U,?'pc_chair'). can_access(U,?O,'create') => can_access(?U,?O,'read')"
"<Policy PolicyId=""RPSlist.17.0.1.4"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">false</AttributeValue>
    <AttributeDesignator AttributeId=""isConflicted"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
    <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Permit"" RuleId=""RPSlist.17.0.1.4.r.1"">
                        <Target>
                            <AnyOf>
<AllOf>
    <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
        <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
        <AttributeDesignator AttributeId=""isEq-subjUserId-resUserId"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
    </Match>
</AllOf>
                            </AnyOf>
                        </Target>
                    </Rule>
                    <Rule Effect=""Permit"" RuleId=""RPSlist.17.0.1.4.r.3"">
                        <Target>
                            <AnyOf>
<AllOf>
    <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
        <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">create</AttributeValue>
        <AttributeDesignator AttributeId=""action"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
    </Match>
    <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
        <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
        <AttributeDesignator AttributeId=""hasSubmittedReviewForResPaper"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
    </Match>
</AllOf>
                            </AnyOf>
                        </Target>
                    </Rule>
                    <Rule Effect=""Deny"" RuleId=""RPSlist.17.0.1.4.r.5"">
                        <Target/>
                    </Rule>
                </Policy>","User(U), Paper(P).",Review(R).,"has_role(U, 'pc-member') :- User(U).
is_conflicted(U, P) :- User(U), Paper(P).
is_eq_subjUserId_resUserId(U, P) :- User(U), Paper(P).
has_submitted_review_for_res_paper(U, P) :- User(U), Paper(P).","can_access(U, P, 'read') :- User(U), Paper(P), has_role(U, 'pc-member'), not is_conflicted(U, P), is_eq_subjUserId_resUserId(U, P).
can_access(U, P, 'create') :- User(U), Paper(P), has_role(U, 'pc-member'), not is_conflicted(U, P), has_submitted_review_for_res_paper(U, P).
can_access(U, P, Action) :- User(U), Paper(P), has_role(U, 'pc-member'), not is_conflicted(U, P), not is_eq_subjUserId_resUserId(U, P), not has_submitted_review_for_res_paper(U, P), Action != 'read', Action != 'create'.","User(?U) ∧ Resource(?Res) ∧ has_role(?U,?pc-chair) => can_access(?U,?Res,?read)"
"<Policy PolicyId=""RPSlist.17.0.1.5.2"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                        <Target>
                            <AnyOf>
<AllOf>
    <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
        <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
        <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
    </Match>
</AllOf>
                            </AnyOf>
                            <AnyOf>
<AllOf>
    <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
        <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">create</AttributeValue>
        <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
    </Match>
</AllOf>
                            </AnyOf>
                        </Target>
                        <Rule Effect=""Permit"" RuleId=""RPSlist.17.0.1.5.2.r.1"">
                            <Target/>
                        </Rule>
                    </Policy>","User(U), Role(R).",Resource(Res).,"has_role(U, R) :- User(U), Role(R).","can_access(U, Res, create) :- User(U), Resource(Res), has_role(U, pc_member).","User(?U) ∧ Meeting(?M) ∧ has_role(?U,""pc-member"") ∧ is_meeting(?M) => can_read(?U,?M)"
"<Policy PolicyId=""RPSlist.18.0.1"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc_chair</AttributeValue>
<AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
<AttributeDesignator AttributeId=""isEq-subjUserId-resUserId"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">create</AttributeValue>
<AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Permit"" RuleId=""RPSlist.18.0.1.r.1"">
                    <Target/>
                </Rule>
            </Policy>","User(U), Resource(R).",Resource(R).,"has_role(U, pc_chair) :- User(U).
isEq_subjUserId_resUserId(U, R) :- User(U), Resource(R).","can_create(U, R) :- User(U), Resource(R), has_role(U, pc_chair), isEq_subjUserId_resUserId(U, R).","User(?U) ∧ Resource(?R) ∧ has_role(?U,""pc-member"") ∧ is_same_user(?U,?R) ∧ has_phase(?R,""discussion"") => can_create(?U,?R)"
"<Policy PolicyId=""RPSlist.18.0.2.0"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-chair</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">false</AttributeValue>
    <AttributeDesignator AttributeId=""isConflicted"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Permit"" RuleId=""RPSlist.18.0.2.0.r.1"">
                        <Target/>
                    </Rule>
                </Policy>",User(U).,Paper(P).,"has_role(U, ""pc-chair"") :- User(U).
not_conflicted(U) :- User(U), not has_conflict(U).","can_access(U, P) :- User(U), Paper(P), has_role(U, ""pc-chair""), not_conflicted(U).","User(?U) ∧ Resource(?Res) ∧ has_role(?U,""pc-chair"") => can_access(?U,?Res)"
"<Policy PolicyId=""RPSlist.18.0.2.3"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
    <AttributeDesignator AttributeId=""isConflicted"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Deny"" RuleId=""RPSlist.18.0.2.3.r.1"">
                        <Target/>
                    </Rule>
                </Policy>",Subject(S).,Object(O).,"is_conflicted(S, O) :- Subject(S), Object(O).","deny(S, O) :- Subject(S), Object(O), is_conflicted(S, O).","User(?U) ∧ Resource(?R) ∧ has_role(?U,""pc-chair"") ∧ not_conflicted(?U) => can_access(?U,?R)"
