natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions
"""System displays the details for the visit in a new page, including date of office visit, note text, diagnoses (i.e., ICD-9CM codes), medical procedures performed (i.e., CPT code) , lab procedures ordered (LOINC code, see Data Format 6.11), medications prescribed (i.e., NDC, see Data Format 5.6), immunizations given (i.e., CPT Code, see UC15, S1), and the name of the doctor who prescribed the medication.""","User(U), Doctor(D).","Visit(V), Diagnosis(DI), Procedure(PR), LabOrder(LO), Medication(M), Immunization(I).","has_access(U, V) :- User(U), Visit(V).
prescribed_by(M, D) :- Medication(M), Doctor(D).
associated_with(V, DI) :- Visit(V), Diagnosis(DI).
associated_with(V, PR) :- Visit(V), Procedure(PR).
associated_with(V, LO) :- Visit(V), LabOrder(LO).
associated_with(V, M) :- Visit(V), Medication(M).
associated_with(V, I) :- Visit(V), Immunization(I).","can_view_visit_details(U, V) :- User(U), Visit(V), has_access(U, V).
can_view_doctor_name(U, D, M) :- User(U), Doctor(D), Medication(M), has_access(U, V), associated_with(V, M), prescribed_by(M, D)."
The patient types the subject and the text of a message.,Patient(P).,Message(M).,"types_message(P, M) :- Patient(P), Message(M).","can_type_message(P, M) :- Patient(P), Message(M)."
The LHCP clicks the reply link above the message text.,LHCP(L).,"Message(M), ReplyLink(R).","above(R, M) :- ReplyLink(R), Message(M).","can_click(L, R) :- LHCP(L), ReplyLink(R), above(R, M), Message(M)."
The representative views his message inbox.,Representative(R).,MessageInbox(MI).,"has_inbox(R, MI) :- Representative(R), MessageInbox(MI).","can_view(R, MI) :- Representative(R), MessageInbox(MI), has_inbox(R, MI)."
"""The HCP can indicate that the patient has passed away, providing an appropriate diagnosis code.""",HCP(H).,"Patient(P), DiagnosisCode(C).","has_patient(H, P) :- HCP(H), Patient(P).","can_indicate_death(H, P, C) :- HCP(H), Patient(P), DiagnosisCode(C), has_patient(H, P), is_appropriate_code(C)."
The user can select an office visit from the calendar to read the visit's details.,User(U).,"OfficeVisit(OV), Calendar(C).","has_access_to(U, OV) :- User(U), OfficeVisit(OV), Calendar(C).","can_read(U, OV) :- User(U), OfficeVisit(OV), has_access_to(U, OV)."
"""The LHCP, the patient or the representative clicks the """"Cancel"""" button to cancel the modifications of the filter (i.e., repopulate the user interface with the values of the filtering criteria from the previously saved filter).""","LHCP(L), Patient(P), Representative(R).",Filter(F).,has_saved_filter(F) :- Filter(F).,"can_cancel_filter_modifications(S, F) :- (LHCP(S) ; Patient(S) ; Representative(S)), Filter(F), has_saved_filter(F)."
The administrator records a drug interaction between two prescription drugs.,Administrator(A).,"Drug(D1), Drug(D2).","has_interaction(D1, D2) :- Drug(D1), Drug(D2).","can_record_interaction(A, D1, D2) :- Administrator(A), Drug(D1), Drug(D2)."
The LHCP must confirm the delete.,LHCP(L).,Action(A).,"can_confirm(L, A) :- LHCP(L), Action(A).","delete_confirmed(A) :- Action(A), LHCP(L), can_confirm(L, A)."
The administrator deletes a drug interaction between two prescription drugs.,Administrator(A).,"Drug(D1), Drug(D2).","has_interaction(D1, D2) :- Drug(D1), Drug(D2).","can_delete_interaction(A, D1, D2) :- Administrator(A), Drug(D1), Drug(D2), has_interaction(D1, D2)."
"""The administrator adds a new entry for an appointment type, including its type name with up to 30 alpha characters and duration in the unit of minutes.""",Administrator(A).,AppointmentType(AT).,"has_name(AT, Name) :- AppointmentType(AT), string(Name), length(Name) <= 30, alpha(Name). has_duration(AT, Duration) :- AppointmentType(AT), integer(Duration), Duration >= 0.","can_add_appointment_type(A, AT, Name, Duration) :- Administrator(A), AppointmentType(AT), has_name(AT, Name), has_duration(AT, Duration)."
The answers to the survey are stored.,User(U).,"Survey(S), Answer(A).","has_answer(S, A) :- Survey(S), Answer(A).","can_store(U, S, A) :- User(U), Survey(S), Answer(A), has_answer(S, A)."
"""A personal health representative views basic information about his designated LHCPs, including the name, phone number, and contact email information.""",PersonalHealthRepresentative(PHR).,"LHCP(L), BasicInfo(BI).","designated(PHR, L) :- PersonalHealthRepresentative(PHR), LHCP(L). has_basic_info(L, BI) :- LHCP(L), BasicInfo(BI).","can_view(PHR, L, BI) :- PersonalHealthRepresentative(PHR), LHCP(L), BasicInfo(BI), designated(PHR, L), has_basic_info(L, BI)."
An LHCP can delete a patient from his monitoring list by the LHCP typing the the patient's MID.,LHCP(L).,Patient(P).,"monitors(L, P) :- LHCP(L), Patient(P).","can_delete(L, P) :- LHCP(L), Patient(P), monitors(L, P)."
"""Any event which views, creates, edits or deletes information is logged.""",Event(E).,Information(I).,"performs_action(E, I, Action) :- Event(E), Information(I), Action in {view, create, edit, delete}.","is_logged(E) :- Event(E), Information(I), performs_action(E, I, Action)."
The administrator is not allowed to modify the reason ID number in an existing entry.,Administrator(A).,"Entry(E), ReasonID(R).","has_reason_id(E, R) :- Entry(E), ReasonID(R).","cannot_modify(A, E, R) :- Administrator(A), Entry(E), ReasonID(R), has_reason_id(E, R)."
The administrator can choose the hospitals.,Administrator(A).,Hospital(H).,"can_choose(A, H) :- Administrator(A), Hospital(H).","can_choose(A, H) :- Administrator(A), Hospital(H)."
The administrator stores information of a LOINC code.,Administrator(A).,LOINC_Code(L).,"stores(A, L) :- Administrator(A), LOINC_Code(L).","can_store(A, L) :- Administrator(A), LOINC_Code(L)."
The administrator is not allowed to modify the appointment type name in an existing entry.,Administrator(A).,"AppointmentType(AT), Entry(E).","has_entry(AT, E) :- AppointmentType(AT), Entry(E).","cannot_modify(A, AT, E) :- Administrator(A), AppointmentType(AT), Entry(E), has_entry(AT, E)."
He can report the blood pressure and glucose levels for the patient.,Reporter(R).,"Patient(P), BloodPressure(BP), GlucoseLevel(GL).","is_assigned_to(R, P) :- Reporter(R), Patient(P).","can_report(R, P, BP, GL) :- Reporter(R), Patient(P), BloodPressure(BP), GlucoseLevel(GL), is_assigned_to(R, P)."
The administrator selects one drug.,Administrator(A).,Drug(DR).,"selects(A, DR) :- Administrator(A), Drug(DR).","can_select(A, DR) :- Administrator(A), Drug(DR)."
A patient's DLHCP adds a patient's personal representative by typing that person's MID.,"DLHCP(D), Patient(P).",PersonalRepresentative(R).,"has_personal_representative(P, R) :- Patient(P), PersonalRepresentative(R).","can_add_personal_representative(D, P, R) :- DLHCP(D), Patient(P), PersonalRepresentative(R), has_personal_representative(P, R)."
System presents a success or failure message to the editor.,Editor(E).,Message(M).,is_success(M) :- Message(M). is_failure(M) :- Message(M).,"can_present(E, M) :- Editor(E), Message(M), (is_success(M); is_failure(M))."
System presents the LHCPs in the patient's living area (based upon the first three numbers of their zip code) who have handled this diagnosis in the last three years.,"Patient(P), LHCP(L).","Diagnosis(D), ZipCode(Z).","lives_in(P, Z) :- Patient(P), ZipCode(Z).
handled_diagnosis(L, D, Year) :- LHCP(L), Diagnosis(D), Year.
in_same_area(P, L) :- Patient(P), LHCP(L), lives_in(P, Z1), has_zip(L, Z2), substring(Z1, 0, 3) = substring(Z2, 0, 3).","can_present(L, P, D) :- LHCP(L), Patient(P), Diagnosis(D), in_same_area(P, L), handled_diagnosis(L, D, Year), Year >= current_year - 3."
The patient then chooses the beginning and end date for the period of time.,Patient(P).,"Date(B), Date(E).","chooses_period(P, B, E) :- Patient(P), Date(B), Date(E).","can_choose_period(P, B, E) :- Patient(P), Date(B), Date(E), chooses_period(P, B, E)."
The data for personnel can be edited according to Data Format 6.2 (all fields mandatory except for associated MID and Street Address 2).,Editor(E).,"Personnel(P), DataFormat(DF).","has_format(P, DF) :- Personnel(P), DataFormat(DF).","can_edit(E, P, DF) :- Editor(E), Personnel(P), DataFormat(DF), has_format(P, DF)."
The user can select a prescription from the calendar to read the prescription's details.,User(U).,"Prescription(PR), Calendar(C).","has_prescription(C, PR) :- Calendar(C), Prescription(PR).","can_read_details(U, PR) :- User(U), Prescription(PR), Calendar(C), has_prescription(C, PR)."
"""They can see diagnoses of blood pressure, high cholesterol, diabetes, cancer, heart disease, smoking, and the cause of death.""",User(U).,Diagnosis(D).,"has_diagnosis(P, D) :- Patient(P), Diagnosis(D).","can_see(U, D) :- User(U), Diagnosis(D), has_diagnosis(P, D), Diagnosis(D) in {blood_pressure, high_cholesterol, diabetes, cancer, heart_disease, smoking, cause_of_death}."
A fake email is sent to the LHCP alerting the user that a new message has arrived.,"User(U), LHCP(L).","Email(E), Message(M).","has_message(U, M) :- User(U), Message(M).","can_send_fake_email(L, U, E, M) :- LHCP(L), User(U), Email(E), Message(M), has_message(U, M)."
The administrator maintains a listing of allowable physical services (including laboratory procedures) that an HCP can use.,"Administrator(A), HCP(H).",PhysicalService(S).,"maintains_listing(A, S) :- Administrator(A), PhysicalService(S).","can_use(H, S) :- HCP(H), PhysicalService(S), maintains_listing(A, S)."
"""On the patient homepage, the Patient views a notification center.""",Patient(P).,NotificationCenter(NC).,"has_access_to(P, NC) :- Patient(P), NotificationCenter(NC).","can_view(P, NC) :- Patient(P), NotificationCenter(NC), has_access_to(P, NC)."
A patient inputs his blood pressure or glucose levels.,Patient(P).,"BloodPressure(BP), GlucoseLevel(GL).","inputs(P, BP) :- Patient(P), BloodPressure(BP). inputs(P, GL) :- Patient(P), GlucoseLevel(GL).","can_input(P, BP) :- Patient(P), BloodPressure(BP). can_input(P, GL) :- Patient(P), GlucoseLevel(GL)."
"""The user selects an office visit from the calendar to read its details by clicking the """"Read Details"""" link beside or below the ICD-9CM code (i.e., diagnose).""",User(U).,"OfficeVisit(OV), Calendar(C), ICD9CM_Code(ICD).","has_visit(C, OV) :- Calendar(C), OfficeVisit(OV). has_diagnosis(OV, ICD) :- OfficeVisit(OV), ICD9CM_Code(ICD).","can_read_details(U, OV) :- User(U), OfficeVisit(OV), has_visit(C, OV), has_diagnosis(OV, ICD)."
The notification center displays the message (You haven't entered remote monitoring information for today yet!),User(U).,"NotificationCenter(NC), Message(M).","has_message(NC, M) :- NotificationCenter(NC), Message(M).","displays(NC, M) :- NotificationCenter(NC), Message(M), has_message(NC, M)."
"""A patient or personal health representative can view a list of his upcoming appointments for himself or herself, as well as appointments for the patients he represents.""","Patient(P), PersonalHealthRepresentative(R).",Appointment(A).,"represents(R, P) :- PersonalHealthRepresentative(R), Patient(P).","can_view_appointments(S, A) :- (Patient(S) ; PersonalHealthRepresentative(S)), Appointment(A), (patient_of_appointment(A, S) ; (PersonalHealthRepresentative(S), patient_of_appointment(A, P), represents(S, P)))."
A patient finds the LHCPs who have handled that condition.,"Patient(P), LHCP(L).",Condition(C).,"has_condition(P, C) :- Patient(P), Condition(C). handled_condition(L, C) :- LHCP(L), Condition(C).","can_find(P, L, C) :- Patient(P), LHCP(L), Condition(C), has_condition(P, C), handled_condition(L, C)."
"""The admin must specify a specialty for a new LHCP (one of: General Physician, Heart Surgeon, OB or GYN, Pediatrician, Surgeon).""","Admin(A), LHCP(L).",Specialty(S).,"has_specialty(L, S) :- LHCP(L), Specialty(S).","can_specify_specialty(A, L, S) :- Admin(A), LHCP(L), Specialty(S), not has_specialty(L, S)."
A message of the removal is sent to the adverse event reporter and to the LHCP.,"AdverseEventReporter(R), LHCP(L).","Message(M), Removal(Rem).","is_about(M, Rem) :- Message(M), Removal(Rem).","can_send_message(M, R) :- Message(M), AdverseEventReporter(R), is_about(M, Rem). can_send_message(M, L) :- Message(M), LHCP(L), is_about(M, Rem)."
Both patients and LHCPs can view a list of their upcoming appointments.,"Patient(P), LHCP(L).",Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).
has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(P, A) :- Patient(P), Appointment(A), has_appointment(P, A).
can_view(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A)."
A LHCP enters an UAP as a user of system according to data format 6.2 (all fields mandatory).,"LHCP(L), UAP(U).",System(S).,"enters_as_user(L, U, S) :- LHCP(L), UAP(U), System(S), data_format_6_2_compliant(L, U, S).","can_enter(L, U, S) :- LHCP(L), UAP(U), System(S), data_format_6_2_compliant(L, U, S)."
The patient chooses drugs for which to report the adverse event.,Patient(P).,Drug(DR).,"chooses_drug(P, DR) :- Patient(P), Drug(DR).","can_report_adverse_event(P, DR) :- Patient(P), Drug(DR), chooses_drug(P, DR)."
"""When the chosen patient satisfies the preconditions of the chosen chronic disease, the LHCP is provided with a warning message.""","LHCP(L), Patient(P).",ChronicDisease(CD).,"satisfies_preconditions(P, CD) :- Patient(P), ChronicDisease(CD).","provide_warning(L, P, CD) :- LHCP(L), Patient(P), ChronicDisease(CD), satisfies_preconditions(P, CD)."
"""A patient can report height, weight and pedometer readings for those for whom he or she is a patient representative.""","Patient(P), PatientRepresentative(R).","Height(H), Weight(W), PedometerReading(PR).","is_representative_for(R, P) :- PatientRepresentative(R), Patient(P).","can_report(R, P, H) :- PatientRepresentative(R), Patient(P), Height(H), is_representative_for(R, P). can_report(R, P, W) :- PatientRepresentative(R), Patient(P), Weight(W), is_representative_for(R, P). can_report(R, P, PR) :- PatientRepresentative(R), Patient(P), PedometerReading(PR), is_representative_for(R, P)."
A patient or personal health representative views his iTrust homepage.,"Patient(P), PersonalHealthRepresentative(R).",Homepage(H).,"has_homepage(P, H) :- Patient(P), Homepage(H). has_homepage(R, H) :- PersonalHealthRepresentative(R), Homepage(H).","can_view(P, H) :- Patient(P), Homepage(H), has_homepage(P, H). can_view(R, H) :- PersonalHealthRepresentative(R), Homepage(H), has_homepage(R, H)."
The HCP can allow viewing access to the laboratory results.,HCP(H).,LabResult(L).,"has_access(H, L) :- HCP(H), LabResult(L).","can_view(H, L) :- HCP(H), LabResult(L), has_access(H, L)."
Demographic information is entered.,User(U).,DemographicInfo(DI).,"enters(U, DI) :- User(U), DemographicInfo(DI).","can_enter(U, DI) :- User(U), DemographicInfo(DI)."
The administrator can select a particular pair of drugs.,Administrator(A).,"Drug(D1), Drug(D2).","selected_pair(A, D1, D2) :- Administrator(A), Drug(D1), Drug(D2), D1 != D2.","can_select(A, D1, D2) :- Administrator(A), Drug(D1), Drug(D2), D1 != D2."
"""LHCPs, patients and representatives may reply to messages.""","LHCP(L), Patient(P), Representative(R).",Message(M).,"has_message(L, M) :- LHCP(L), Message(M). has_message(P, M) :- Patient(P), Message(M). has_message(R, M) :- Representative(R), Message(M).","can_reply(L, M) :- LHCP(L), Message(M), has_message(L, M). can_reply(P, M) :- Patient(P), Message(M), has_message(P, M). can_reply(R, M) :- Representative(R), Message(M), has_message(R, M)."
"""A patient, patient representative, or LHCP can sort messages in his message inbox by either the sender's last name or timestamp (but not both) in either ascending or descending order (where timestamps in descending order would have the most recent first).""","Patient(P), PatientRepresentative(PR), LHCP(L).","Message(M), Sender(S).","has_message_inbox(P, M) :- Patient(P), Message(M).
has_message_inbox(PR, M) :- PatientRepresentative(PR), Message(M).
has_message_inbox(L, M) :- LHCP(L), Message(M).
message_sender(M, S) :- Message(M), Sender(S).
sender_last_name(S, LN) :- Sender(S).
message_timestamp(M, TS) :- Message(M).","can_sort_by_last_name(P, M, LN, Order) :- Patient(P), Message(M), has_message_inbox(P, M), message_sender(M, S), sender_last_name(S, LN), (Order = ascending; Order = descending).
can_sort_by_last_name(PR, M, LN, Order) :- PatientRepresentative(PR), Message(M), has_message_inbox(PR, M), message_sender(M, S), sender_last_name(S, LN), (Order = ascending; Order = descending).
can_sort_by_last_name(L, M, LN, Order) :- LHCP(L), Message(M), has_message_inbox(L, M), message_sender(M, S), sender_last_name(S, LN), (Order = ascending; Order = descending).
can_sort_by_timestamp(P, M, TS, Order) :- Patient(P), Message(M), has_message_inbox(P, M), message_timestamp(M, TS), (Order = ascending; Order = descending).
can_sort_by_timestamp(PR, M, TS, Order) :- PatientRepresentative(PR), Message(M), has_message_inbox(PR, M), message_timestamp(M, TS), (Order = ascending; Order = descending).
can_sort_by_timestamp(L, M, TS, Order) :- LHCP(L), Message(M), has_message_inbox(L, M), message_timestamp(M, TS), (Order = ascending; Order = descending)."
"""A UAP can report height, weight and pedometer measurements.""",UAP(U).,Measurement(M).,"is_type_of(M, 'height') :- Measurement(M).
is_type_of(M, 'weight') :- Measurement(M).
is_type_of(M, 'pedometer') :- Measurement(M).","can_report(U, M) :- UAP(U), Measurement(M), (is_type_of(M, 'height'); is_type_of(M, 'weight'); is_type_of(M, 'pedometer'))."
System presents a list of pending referrals.,User(U).,Referral(R).,pending_referral(R) :- Referral(R).,can_view_pending_referrals(U) :- User(U).
Initially only the name and email are provided.,User(U).,"Name(N), Email(E).","has_name(U, N) :- User(U), Name(N). has_email(U, E) :- User(U), Email(E).","can_access_info(U, N, E) :- User(U), Name(N), Email(E), has_name(U, N), has_email(U, E)."
Only the name and email are provided by the HCP.,HCP(H).,"Name(N), Email(E).","provides(H, N) :- HCP(H), Name(N). provides(H, E) :- HCP(H), Email(E).","can_access(H, N) :- HCP(H), Name(N), provides(H, N). can_access(H, E) :- HCP(H), Email(E), provides(H, E)."
A patient's DLHCP deletes a patient's personal representative by typing that person's MID.,"DLHCP(D), Patient(P).",PersonalRepresentative(PR).,"has_personal_representative(P, PR) :- Patient(P), PersonalRepresentative(PR).","can_delete(D, P, PR) :- DLHCP(D), Patient(P), PersonalRepresentative(PR), has_personal_representative(P, PR)."
The patient or personal health representative views an appointment.,"Patient(P), PersonalHealthRepresentative(R).",Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).","can_view(P, A) :- Patient(P), Appointment(A), has_appointment(P, A). can_view(R, A) :- PersonalHealthRepresentative(R), Appointment(A), has_appointment(P, A), is_representative_of(R, P)."
"""An LHCP views a list of his upcoming appointments for the current date, with each appointment displayed in the format """"HH:MM AM or PM - AppointmentType"""".""",LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_appointments(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A)."
The patient can view contact information of a selected LHCP shown in the expired prescription list.,Patient(P).,"LHCP(L), ContactInfo(CI).","has_expired_prescription(P, L) :- Patient(P), LHCP(L).","can_view(P, CI) :- Patient(P), LHCP(L), ContactInfo(CI), has_expired_prescription(P, L)."
The LHCP is not able to remove any past appointments.,LHCP(L).,Appointment(A).,past_appointment(A) :- Appointment(A).,"cannot_remove(L, A) :- LHCP(L), Appointment(A), past_appointment(A)."
"""An administrator maintains the standards list for immunizations, diagnoses, allowable drugs, or allowable physical services.""",Administrator(A).,"Immunization(I), Diagnosis(DG), AllowableDrug(AD), AllowablePhysicalService(APS).","maintains_standards(A, I) :- Administrator(A), Immunization(I).
maintains_standards(A, DG) :- Administrator(A), Diagnosis(DG).
maintains_standards(A, AD) :- Administrator(A), AllowableDrug(AD).
maintains_standards(A, APS) :- Administrator(A), AllowablePhysicalService(APS).","can_maintain(A, I) :- Administrator(A), Immunization(I).
can_maintain(A, DG) :- Administrator(A), Diagnosis(DG).
can_maintain(A, AD) :- Administrator(A), AllowableDrug(AD).
can_maintain(A, APS) :- Administrator(A), AllowablePhysicalService(APS)."
He can report his blood pressure (systolic and diastolic) and glucose levels.,Patient(P).,"BloodPressure(BP), GlucoseLevel(GL).","has_blood_pressure(P, BP) :- Patient(P), BloodPressure(BP). has_glucose_level(P, GL) :- Patient(P), GlucoseLevel(GL).","can_report(P, BP, GL) :- Patient(P), BloodPressure(BP), GlucoseLevel(GL), has_blood_pressure(P, BP), has_glucose_level(P, GL)."
A patient can report physiologic measurements.,Patient(P).,PhysiologicMeasurement(PM).,,"can_report(P, PM) :- Patient(P), PhysiologicMeasurement(PM)."
System presents a listing of all his patients.,System(S).,Patient(P).,"has_patient(S, P) :- System(S), Patient(P).","can_list_patients(S) :- System(S), has_patient(S, P)."
The LHCP schedules an appointment with a patient.,"LHCP(L), Patient(P).",Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).","can_schedule(L, P, A) :- LHCP(L), Patient(P), Appointment(A)."
An LHCP sends a message to a patient or representative (no multiple recipients allowed in a single message).,"LHCP(L), Patient(P), Representative(R).",Message(M).,"is_representative_of(R, P) :- Representative(R), Patient(P).","can_send_message(L, M, P) :- LHCP(L), Message(M), Patient(P). can_send_message(L, M, R) :- LHCP(L), Message(M), Representative(R), is_representative_of(R, P)."
An HCP enters a patient.,HCP(H).,Patient(P).,"enters(H, P) :- HCP(H), Patient(P).","can_enter(H, P) :- HCP(H), Patient(P)."
"""After a message is sent, the patient or personal representative is directed to his message outbox.""","Patient(P), PersonalRepresentative(PR).","Message(M), Outbox(O).","has_outbox(P, O) :- Patient(P), Outbox(O). has_outbox(PR, O) :- PersonalRepresentative(PR), Outbox(O). sent_message(M, P) :- Message(M), Patient(P). sent_message(M, PR) :- Message(M), PersonalRepresentative(PR).","can_access_outbox(P, O) :- Patient(P), Outbox(O), has_outbox(P, O). can_access_outbox(PR, O) :- PersonalRepresentative(PR), Outbox(O), has_outbox(PR, O)."
The user provides a zip code or a hospital code and an physician type.,User(U).,"ZipCode(Z), HospitalCode(H), PhysicianType(T).","provides_zip_code(U, Z) :- User(U), ZipCode(Z). provides_hospital_code(U, H) :- User(U), HospitalCode(H). provides_physician_type(U, T) :- User(U), PhysicianType(T).","can_access_physician_info(U, Z, H, T) :- User(U), ZipCode(Z), HospitalCode(H), PhysicianType(T), (provides_zip_code(U, Z); provides_hospital_code(U, H)), provides_physician_type(U, T)."
A patient or personal representative for a patient sends a message to an LHCP.,"Patient(P), PersonalRepresentative(PR), LHCP(L).",Message(M).,"represents(PR, P) :- PersonalRepresentative(PR), Patient(P).","can_send(P, L, M) :- Patient(P), LHCP(L), Message(M). can_send(PR, L, M) :- PersonalRepresentative(PR), LHCP(L), Message(M), Patient(P), represents(PR, P)."
"""A patient reports his height, weight and pedometer data.""",Patient(P).,"Height(H), Weight(W), PedometerData(PD).","reports(P, H, W, PD) :- Patient(P), Height(H), Weight(W), PedometerData(PD).","can_report(P, H, W, PD) :- Patient(P), Height(H), Weight(W), PedometerData(PD)."
"""The LHCP can see the patient’s name, patient’s phone number, patient’s personal representative, patient’s blood pressure, patient’s glucose levels, patient’s height, patient’s weight, and patient’s pedometer readings as well as whom reported the data (patient, UAP name, personal representative name) for that date range.""",LHCP(L).,"Patient(P), PatientData(D).","has_data(P, D) :- Patient(P), PatientData(D).","can_see(L, P, D) :- LHCP(L), Patient(P), PatientData(D), has_data(P, D)."
The patient clicks the send button.,Patient(P).,Button(B).,"can_click(P, B) :- Patient(P), Button(B).","click(P, B) :- Patient(P), Button(B), can_click(P, B)."
"""A patient can click the """"View Full Calendar"""" link to view his appointments in the current month.""",Patient(P).,"Appointment(A), CalendarLink(L).","has_appointment(P, A) :- Patient(P), Appointment(A).","can_view_calendar(P, L) :- Patient(P), CalendarLink(L), has_appointment(P, A)."
An patient views his appointments in the current month.,Patient(P).,Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).","can_view(P, A) :- Patient(P), Appointment(A), has_appointment(P, A), in_current_month(A)."
"""A patient, patient representative, or LHCP then clicks the """"Sort"""" button.""","Patient(P), PatientRepresentative(PR), LHCP(L).",SortButton(SB).,"can_click(P, SB) :- Patient(P), SortButton(SB). can_click(PR, SB) :- PatientRepresentative(PR), SortButton(SB). can_click(L, SB) :- LHCP(L), SortButton(SB).","click(P, SB) :- Patient(P), SortButton(SB), can_click(P, SB). click(PR, SB) :- PatientRepresentative(PR), SortButton(SB), can_click(PR, SB). click(L, SB) :- LHCP(L), SortButton(SB), can_click(L, SB)."
The administrator is not allowed to delete an existing entry.,Administrator(A).,Entry(E).,existing_entry(E) :- Entry(E).,"cannot_delete(A, E) :- Administrator(A), Entry(E), existing_entry(E)."
System presents  a listing of all his patients.,"System(S), User(U).",Patient(P).,"has_patient(S, P) :- System(S), Patient(P).","can_view_patients(U, S) :- User(U), System(S), has_patient(S, P)."
"""By default, the messages in the list should be ordered by timestamp, the most recent first.""",User(U).,Message(M).,"has_timestamp(M, T) :- Message(M), Timestamp(T).","can_view_ordered(U, M) :- User(U), Message(M), has_timestamp(M, T), order_by_desc(T)."
"""The HCP must provide instructions, or else they cannot add the prescription.""",HCP(H).,Prescription(PR).,"provides_instructions(H, PR) :- HCP(H), Prescription(PR).","can_add_prescription(H, PR) :- HCP(H), Prescription(PR), provides_instructions(H, PR)."
The LHCP views the weight or pedometer monitoring details of his patients for the current date.,"LHCP(L), Patient(P).",MonitoringDetails(MD).,"has_patient(L, P) :- LHCP(L), Patient(P). has_details(P, MD) :- Patient(P), MonitoringDetails(MD). current_date(MD) :- MonitoringDetails(MD).","can_view(L, P, MD) :- LHCP(L), Patient(P), MonitoringDetails(MD), has_patient(L, P), has_details(P, MD), current_date(MD)."
A LHCP refers a patient to another receiving LHCP.,"LHCP(L1), LHCP(L2).",Patient(P).,"refers_to(L1, P, L2) :- LHCP(L1), Patient(P), LHCP(L2).","can_refer(L1, P, L2) :- LHCP(L1), Patient(P), LHCP(L2), not refers_to(L1, P, L2)."
"""The user selects a message from the message inbox or outbox to read by clicking the """"Read"""" link beside the row for the message, and then the message subject, the name of the sender, the name of the the recipient, timestamp, and the message text shall be displayed in a new page.""","User(U), Message(M).",Message(M).,"in_inbox(U, M) :- User(U), Message(M).
in_outbox(U, M) :- User(U), Message(M).
has_sender(M, S) :- Message(M), User(S).
has_recipient(M, R) :- Message(M), User(R).","can_read_message(U, M) :- User(U), Message(M), (in_inbox(U, M) ; in_outbox(U, M))."
"""The LHCP can view a prescription list for that patient, sorted by start date.""","LHCP(L), Patient(P).",Prescription(PR).,"has_prescription(P, PR) :- Patient(P), Prescription(PR).","can_view(L, P, PR) :- LHCP(L), Patient(P), Prescription(PR), has_prescription(P, PR)."
System displays only the applicable input entries to the patient.,"System(S), Patient(P).",InputEntry(I).,"applicable_to(I, P) :- InputEntry(I), Patient(P).","can_display(S, P, I) :- System(S), Patient(P), InputEntry(I), applicable_to(I, P)."
A prescription list is then displayed.,User(U).,PrescriptionList(PL).,"has_access_to(U, PL) :- User(U), PrescriptionList(PL).","can_view(U, PL) :- User(U), PrescriptionList(PL), has_access_to(U, PL)."
The two drugs and a textual description of the possible effects of the interaction are stored.,"Drug(D1), Drug(D2).",Interaction(I).,"has_interaction(D1, D2, I) :- Drug(D1), Drug(D2), Interaction(I).","store_interaction(D1, D2, I) :- Drug(D1), Drug(D2), Interaction(I)."
The administrator maintains a listing of allowable diagnoses.,Administrator(A).,Diagnosis(D).,"maintains_listing(A, D) :- Administrator(A), Diagnosis(D).","can_access_diagnosis(A, D) :- Administrator(A), Diagnosis(D), maintains_listing(A, D)."
An LHCP sends a message to a patient or the patient’s personal representative.,"LHCP(L), Patient(P), PersonalRepresentative(R).",Message(M).,"is_patient_of(P, L) :- Patient(P), LHCP(L). is_representative_of(R, P) :- PersonalRepresentative(R), Patient(P).","can_send_message(L, P, M) :- LHCP(L), Patient(P), Message(M), is_patient_of(P, L). can_send_message(L, R, M) :- LHCP(L), PersonalRepresentative(R), Message(M), Patient(P), is_patient_of(P, L), is_representative_of(R, P)."
The patient can designate any LHCP as being a DLHCP for them.,"Patient(P), LHCP(L).",DLHCP(D).,"designates(P, L, D) :- Patient(P), LHCP(L), DLHCP(D).","can_designate(P, L, D) :- Patient(P), LHCP(L), DLHCP(D)."
The administrator can delete the interaction between the two drugs.,Administrator(A).,"Drug(D1), Drug(D2).","has_interaction(D1, D2) :- Drug(D1), Drug(D2).","can_delete(A, D1, D2) :- Administrator(A), Drug(D1), Drug(D2), has_interaction(D1, D2)."
System displays only the applicable input entries to the UAP.,UAP(U).,InputEntry(I).,"applicable_to(I, U) :- InputEntry(I), UAP(U).","display(I, U) :- InputEntry(I), UAP(U), applicable_to(I, U)."
An LHCP or UAP can add patients from his monitoring list.,"LHCP(L), UAP(U).",Patient(P).,"monitors(L, P) :- LHCP(L), Patient(P). monitors(U, P) :- UAP(U), Patient(P).","can_add(L, P) :- LHCP(L), Patient(P), monitors(L, P). can_add(U, P) :- UAP(U), Patient(P), monitors(U, P)."
