natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions
Their main form of access is to add progress note entries based on their observations.,User(U).,ProgressNote(PN).,"has_observation(U, PN) :- User(U), ProgressNote(PN).","can_add(U, PN) :- User(U), ProgressNote(PN), has_observation(U, PN)."
A visiting doctor has access to all the medical information of residents who are his or her patients,Doctor(D).,"Resident(R), MedicalInfo(MI).","is_patient_of(R, D) :- Resident(R), Doctor(D).","has_access(D, MI) :- Doctor(D), MedicalInfo(MI), Resident(R), is_patient_of(R, D)."
A visiting doctor can add entries to patients medical records.,Doctor(D).,"MedicalRecordEntry(E), Patient(P).","is_visiting_doctor(D, P) :- Doctor(D), Patient(P).","can_add_entry(D, P, E) :- Doctor(D), Patient(P), MedicalRecordEntry(E), is_visiting_doctor(D, P)."
Managers can read and set ordinary employees’ bonuses.,Manager(M).,"Employee(E), Bonus(B).","manages(M, E) :- Manager(M), Employee(E).","can_read(M, E, B) :- Manager(M), Employee(E), Bonus(B), manages(M, E). can_set(M, E, B) :- Manager(M), Employee(E), Bonus(B), manages(M, E)."
but not those of other managers or the director can read and set ordinary employees’ bonuses,"Manager(M), Director(D), Employee(E).",Bonus(B).,"is_manager_of(M, E) :- Manager(M), Employee(E). is_director_of(D, E) :- Director(D), Employee(E).","can_read_and_set_bonus(M, E, B) :- Manager(M), Employee(E), Bonus(B), is_manager_of(M, E), not is_director_of(D, E), not (Manager(OtherM), OtherM != M, is_manager_of(OtherM, E))."
Every subject in the hierarchy can submit a project.,Subject(S).,Project(P).,in_hierarchy(S) :- Subject(S).,"can_submit(S, P) :- Subject(S), Project(P), in_hierarchy(S)."
except the business office manager can submit a project,"BusinessOfficeManager(BOM), OtherUser(U).",Project(P).,is_business_office_manager(BOM) :- BusinessOfficeManager(BOM).,"can_submit(BOM, P) :- BusinessOfficeManager(BOM), Project(P).
can_submit(U, P) :- OtherUser(U), Project(P), not is_business_office_manager(U)."
Every professor can review a project.,Professor(P).,Project(PR).,,"can_review(P, PR) :- Professor(P), Project(PR)."
"except assistant professors, can review a project",Professor(P).,Project(PR).,is_assistant_professor(P) :- Professor(P).,"can_review(P, PR) :- Professor(P), Project(PR), not is_assistant_professor(P)."
All PC members know who are the reviewers for this paper.,"PC_Member(M), Reviewer(R).",Paper(P).,"assigned_reviewer(P, R) :- Paper(P), Reviewer(R).","knows_reviewer(M, P, R) :- PC_Member(M), Paper(P), Reviewer(R), assigned_reviewer(P, R)."
author(s) of a paper can not know who are the reviewers for this paper,"Author(A), Reviewer(R).",Paper(P).,"authored_by(P, A) :- Paper(P), Author(A). assigned_reviewer(P, R) :- Paper(P), Reviewer(R).","cannot_know(A, R, P) :- Author(A), Reviewer(R), Paper(P), authored_by(P, A), assigned_reviewer(P, R)."
TA can view and assign InternalGrades,TA(T).,InternalGrade(G).,"can_view(T, G) :- TA(T), InternalGrade(G). can_assign(T, G) :- TA(T), InternalGrade(G).","view_action(T, G) :- can_view(T, G). assign_action(T, G) :- can_assign(T, G)."
"TA can not view and assign  ExternalGrades (since faculty must take final responsibility for all external grades), combined with Pol3.","TA(T), Faculty(F).",ExternalGrade(EG).,"has_responsibility(F, EG) :- Faculty(F), ExternalGrade(EG).","can_view(T, EG) :- TA(T), ExternalGrade(EG), false. can_assign(T, EG) :- TA(T), ExternalGrade(EG), false."
"Although she can enter the past medical records when a resident is admitted,","Nurse(N), Resident(R).",MedicalRecord(MR).,is_admitted(R) :- Resident(R).,"can_enter(N, MR) :- Nurse(N), MedicalRecord(MR), Resident(R), is_admitted(R)."
she cannot subsequently add medical entries to the system.,User(U).,MedicalEntry(ME).,has_restriction(U) :- User(U).,"can_add(U, ME) :- User(U), MedicalEntry(ME), not has_restriction(U)."
"Also, she cannot view the private notes of doctors","User(U), Doctor(D).",PrivateNote(N).,"has_note(D, N) :- Doctor(D), PrivateNote(N).","can_view(U, N) :- User(U), PrivateNote(N), not (Doctor(D), has_note(D, N))."
clearly she cannot sign the legal agreement on behalf of a resident.,Person(S).,"LegalAgreement(A), Resident(R).",is_resident(R) :- Resident(R).,"can_sign(S, A, R) :- Person(S), LegalAgreement(A), Resident(R), not is_resident(R)."
Health care workers can view recent medical records of residents (up to one year old),HealthCareWorker(H).,"Resident(R), MedicalRecord(M).","has_record(R, M) :- Resident(R), MedicalRecord(M).","can_view(H, R, M) :- HealthCareWorker(H), Resident(R), MedicalRecord(M), has_record(R, M), recent(M)."
Health care workers cannot normally view older medical information.,HealthCareWorker(H).,MedicalInfo(M).,is_older(M) :- MedicalInfo(M).,"cannot_view(H, M) :- HealthCareWorker(H), MedicalInfo(M), is_older(M)."
"Doctors also can add private notes about a resident, which, on the basis of doctor-patient confidentiality.","Doctor(D), Resident(R).",PrivateNote(N).,"has_confidentiality(D, R) :- Doctor(D), Resident(R).","can_add_private_note(D, R, N) :- Doctor(D), Resident(R), PrivateNote(N), has_confidentiality(D, R)."
"Private notes about a resident, which, on the basis of doctor-patient confidentiality, are not visible to health care staff or the manager.","Doctor(D), Resident(R), HealthCareStaff(H), Manager(M).",PrivateNote(N).,"has_note(R, N) :- Resident(R), PrivateNote(N).","can_view(D, N) :- Doctor(D), PrivateNote(N), has_note(R, N).
not can_view(H, N) :- HealthCareStaff(H), PrivateNote(N), has_note(R, N).
not can_view(M, N) :- Manager(M), PrivateNote(N), has_note(R, N)."
Pharmacy System should not read patient records,PharmacySystem(PS).,PatientRecord(PR).,,"cannot_read(PS, PR) :- PharmacySystem(PS), PatientRecord(PR)."
Pharmacy System can read patient medicine orders.,PharmacySystem(PS).,"Patient(P), MedicineOrder(MO).","has_order(P, MO) :- Patient(P), MedicineOrder(MO).","can_read(PS, MO) :- PharmacySystem(PS), MedicineOrder(MO), Patient(P), has_order(P, MO)."
"Users can view an Owner's account,","User(U), Owner(O).",Account(A).,"owns(O, A) :- Owner(O), Account(A).","can_view(U, A) :- User(U), Account(A), Owner(O), owns(O, A)."
Users can not make changes to Owner's account,"User(U), Owner(O).",Account(A).,"owns(O, A) :- Owner(O), Account(A).","cannot_change(U, A) :- User(U), Account(A), Owner(O), owns(O, A)."
Only administrators make changes to a resource's security label.,User(U).,Resource(R).,is_admin(U) :- User(U).,"can_change_security_label(U, R) :- User(U), Resource(R), is_admin(U)."
not data owners make changes to a resource's security label.,"User(U), Resource(R).",SecurityLabel(SL).,"owner_of(U, R) :- User(U), Resource(R).","can_change_security_label(U, R, SL) :- User(U), Resource(R), SecurityLabel(SL), not owner_of(U, R)."
Owners cannot change any data,Owner(O).,Data(D).,,"cannot_change(O, D) :- Owner(O), Data(D)."
Owners can read data all.,Owner(O).,Data(D).,,"can_read(O, D) :- Owner(O), Data(D)."
