natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions
A user can sort messages in his or her message outbox by the recipient's last name or timestamp (but not both) in either ascending or descending order.,User(U).,"Message(M), Recipient(R), LastName(LN), Timestamp(TS), SortOrder(SO).","has_outbox(U, M) :- User(U), Message(M).
has_recipient(M, R) :- Message(M), Recipient(R).
has_last_name(R, LN) :- Recipient(R), LastName(LN).
has_timestamp(M, TS) :- Message(M), Timestamp(TS).
ascending(SO) :- SortOrder(SO).
descending(SO) :- SortOrder(SO).","can_sort_by_last_name(U, M, LN, SO) :- User(U), Message(M), Recipient(R), LastName(LN), SortOrder(SO), has_outbox(U, M), has_recipient(M, R), has_last_name(R, LN), not can_sort_by_timestamp(U, M, TS, SO).
can_sort_by_timestamp(U, M, TS, SO) :- User(U), Message(M), Timestamp(TS), SortOrder(SO), has_outbox(U, M), has_timestamp(M, TS), not can_sort_by_last_name(U, M, LN, SO)."
Only the applicable input entries (those whose corresponding data types of the patient are specified to be under monitoring) are displayed to the UAP.,"UAP(U), Patient(P).","InputEntry(E), DataType(DT).","has_data_type(E, DT) :- InputEntry(E), DataType(DT).
under_monitoring(P, DT) :- Patient(P), DataType(DT).","can_view(U, E) :- UAP(U), InputEntry(E), Patient(P), DataType(DT), has_data_type(E, DT), under_monitoring(P, DT)."
The licensed health care professional making a diagnosis determines if a patient is granted the ability to restrict viewing of the diagnosis.,"LicensedHealthCareProfessional(LHCP), Patient(P).",Diagnosis(D).,"makes_diagnosis(LHCP, P, D) :- LicensedHealthCareProfessional(LHCP), Patient(P), Diagnosis(D).","can_restrict_viewing(P, D) :- LicensedHealthCareProfessional(LHCP), Patient(P), Diagnosis(D), makes_diagnosis(LHCP, P, D)."
"The administrator will store (1) the CPT code (The CPT code set accurately describes medical, surgical, and diagnostic services and is designed to communicate uniform information about medical services and procedures among physicians, coders, patients, accreditation organizations, and payers for administrative, financial, and analytical purposes.",Administrator(A).,CPTCode(C).,"can_store(A, C) :- Administrator(A), CPTCode(C).","store(A, C) :- can_store(A, C)."
The user chooses to open his or her upcoming appointment list.,User(U).,Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A).",can_open_appointment_list(U) :- User(U).
The LHCP types an invalid age range and is prompted to try again.,LHCP(L).,AgeRange(AR).,"entered_invalid_age_range(L, AR) :- LHCP(L), AgeRange(AR).","prompt_to_retry(L) :- LHCP(L), entered_invalid_age_range(L, AR)."
An HCP can view a previously created lab procedure for a given office visit.,HCP(H).,"LabProcedure(LP), OfficeVisit(OV).","created_for(LP, OV) :- LabProcedure(LP), OfficeVisit(OV).","can_view(H, LP) :- HCP(H), LabProcedure(LP), OfficeVisit(OV), created_for(LP, OV)."
"The system shall enable multiple simultaneous users, each with his or her own exclusive authentication.",User(U).,Authentication(A).,"has_authentication(U, A) :- User(U), Authentication(A).","can_access_system(U) :- User(U), has_authentication(U, A)."
An LHCP or UAP creates a list of patients (by MID) for which he or she will monitor remotely .,"LHCP(L), UAP(U).","Patient(P), MID(M).","has_mid(P, M) :- Patient(P), MID(M).","can_monitor_remotely(L, P) :- LHCP(L), Patient(P), has_mid(P, M). can_monitor_remotely(U, P) :- UAP(U), Patient(P), has_mid(P, M)."
A patient is added to the list by the LHCP or UAP typing in the patient's MID  or name.,"LHCP(L), UAP(U).","Patient(P), List(LIST).","has_mid(P, MID) :- Patient(P).
has_name(P, NAME) :- Patient(P).
can_add(L, P, LIST) :- LHCP(L), Patient(P), List(LIST).
can_add(U, P, LIST) :- UAP(U), Patient(P), List(LIST).","add_patient(L, P, LIST) :- can_add(L, P, LIST), (has_mid(P, MID) ; has_name(P, NAME)).
add_patient(U, P, LIST) :- can_add(U, P, LIST), (has_mid(P, MID) ; has_name(P, NAME))."
"At this point, the LHCP can view a prescription list for that patient , sorted by start date (the later date is ranked earlier).","LHCP(L), Patient(P).",Prescription(PR).,"has_prescription(P, PR) :- Patient(P), Prescription(PR). start_date(PR, DATE) :- Prescription(PR).","can_view(L, P, PR) :- LHCP(L), Patient(P), Prescription(PR), has_prescription(P, PR)."
"The HCP must provide instructions (can neither be empty nor the default form field value), or else they cannot add the prescription.",HCP(H).,"Prescription(PR), Instructions(I).","has_instructions(H, I) :- HCP(H), Instructions(I), not empty(I), not default(I).","can_add_prescription(H, PR) :- HCP(H), Prescription(PR), has_instructions(H, I)."
The iTrust user (LHCP or ER) has authenticated himself or herself in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S)."
"After the patient logs in, an activity feed is displayed .",Patient(P).,ActivityFeed(AF).,"has_access(P, AF) :- Patient(P), ActivityFeed(AF).","can_view(P, AF) :- Patient(P), ActivityFeed(AF), has_access(P, AF)."
The HCP can graph height or weight of the patient over the last 3 calendar years .,HCP(H).,"Patient(P), Measurement(M).","has_measurement(P, M) :- Patient(P), Measurement(M), measurement_type(M, 'height') or measurement_type(M, 'weight'), measurement_date(M, D), current_year(CY), D >= CY - 3.","can_graph(H, P, M) :- HCP(H), Patient(P), Measurement(M), has_measurement(P, M)."
All email notifications should be executed through the fake email utility.,"User(U), System(S).","EmailNotification(N), FakeEmailUtility(F).","has_access_to(U, F) :- User(U), FakeEmailUtility(F).","can_execute_notification(S, N, F) :- System(S), EmailNotification(N), FakeEmailUtility(F), has_access_to(S, F)."
LOINC data from this file is added to a listing of allowable physical services (including laboratory procedures that an HCP can use).,HCP(H).,"LOINC_Data(L), Service(S).","allowable_service(S) :- Service(S).
has_loinc_data(S, L) :- Service(S), LOINC_Data(L).","can_use(H, S) :- HCP(H), Service(S), allowable_service(S), has_loinc_data(S, L)."
The administrator will store (1) hospital Id number for the hospital ; and (2) up to 30 alphanumeric characters giving the name of the hospital.,Administrator(A).,Hospital(H).,"has_id(H, ID) :- Hospital(H), HospitalId(ID).
has_name(H, Name) :- Hospital(H), HospitalName(Name).","can_store(A, H, ID, Name) :- Administrator(A), Hospital(H), HospitalId(ID), HospitalName(Name), length(Name, L), L <= 30, alphanumeric(Name)."
"An administrator chooses to maintain the standards list for immunizations , diagnoses , allowable drugs , or allowable physical services .",Administrator(A).,"Immunization(I), Diagnosis(DG), Drug(DR), PhysicalService(PS).","maintains_standards(A, I) :- Administrator(A), Immunization(I). maintains_standards(A, DG) :- Administrator(A), Diagnosis(DG). maintains_standards(A, DR) :- Administrator(A), Drug(DR). maintains_standards(A, PS) :- Administrator(A), PhysicalService(PS).","can_maintain(A, I) :- Administrator(A), Immunization(I). can_maintain(A, DG) :- Administrator(A), Diagnosis(DG). can_maintain(A, DR) :- Administrator(A), Drug(DR). can_maintain(A, PS) :- Administrator(A), PhysicalService(PS)."
The HCP can select a medication from a pull down list and add it to the list of medications the patient is allergic to.,HCP(H).,"Medication(M), Patient(P).","has_allergy(P, M) :- Patient(P), Medication(M).","can_add_allergy(H, P, M) :- HCP(H), Patient(P), Medication(M)."
The iTrust user has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S)."
"If the LHCP is not one of the patient's DLHCP or the UAP associated with one of their DLHCP, a message is sent to the patient and their personal representative .","LHCP(L), Patient(P), PersonalRepresentative(PR).",Message(M).,"is_dlhcp_of(L, P) :- LHCP(L), Patient(P).
associated_uap(L, P) :- LHCP(L), Patient(P).
has_personal_representative(P, PR) :- Patient(P), PersonalRepresentative(PR).","send_message(M, P, PR) :- LHCP(L), Patient(P), PersonalRepresentative(PR), Message(M), not (is_dlhcp_of(L, P); associated_uap(L, P)), has_personal_representative(P, PR)."
An HCP can reassign a previously created lab procedure .,HCP(H).,LabProcedure(L).,"created_by(L, H) :- LabProcedure(L), HCP(H).","can_reassign(H, L) :- HCP(H), LabProcedure(L), created_by(L, H)."
The patient can select to view contact information of a selected LHCP shown in the expired prescription list .,Patient(P).,"LHCP(L), ContactInfo(CI).","has_expired_prescription(P, L) :- Patient(P), LHCP(L).","can_view_contact_info(P, L, CI) :- Patient(P), LHCP(L), ContactInfo(CI), has_expired_prescription(P, L)."
The HCP types an invalid medical identification number and is prompted to try again.,HCP(H).,MedicalID(M).,is_valid(M) :- MedicalID(M).,"can_retry(H, M) :- HCP(H), MedicalID(M), not is_valid(M)."
"The patient, UAP, or personal representative tries to enter more than ten physiologic data points for one day and is told additional data cannot be entered.","Patient(P), UAP(U), PersonalRepresentative(R).","PhysiologicDataPoint(DP), Day(D).","entered_data(S, DP, D) :- (Subject(S), PhysiologicDataPoint(DP), Day(D)), (S = P; S = U; S = R).","can_enter_data(S, DP, D) :- (Subject(S), PhysiologicDataPoint(DP), Day(D)), count_entered(S, D, Count), Count < 10. count_entered(S, D, Count) :- Subject(S), Day(D), Count = #count{DP : entered_data(S, DP, D)}."
The LHCP is presented with a screen upon which he or she can choose a date range.,LHCP(L).,"Screen(S), DateRange(DR).","can_access(L, S) :- LHCP(L), Screen(S).","can_choose(L, S, DR) :- LHCP(L), Screen(S), DateRange(DR), can_access(L, S)."
The administrator will store information of a LOINC code (Logical Observation Identifiers Names and Codes (LOINC) is a database and universal standard for identifying medical laboratory observations.,Administrator(A).,LOINC_Code(L).,"has_access_to(A, L) :- Administrator(A), LOINC_Code(L).","can_store(A, L) :- Administrator(A), LOINC_Code(L), has_access_to(A, L)."
An HCP can reassign a previously created lab procedure to a different Lab Technician if the lab procedure is not yet in the testing state.,"HCP(H), LabTechnician(LT).",LabProcedure(LP).,"created_by(LP, H) :- LabProcedure(LP), HCP(H).
assigned_to(LP, LT) :- LabProcedure(LP), LabTechnician(LT).
in_testing_state(LP) :- LabProcedure(LP).","can_reassign(H, LP, LT) :- HCP(H), LabProcedure(LP), LabTechnician(LT), created_by(LP, H), not in_testing_state(LP), not assigned_to(LP, LT)."
The user is prompted to try again.,User(U).,Prompt(P).,"prompted_to_try_again(U, P) :- User(U), Prompt(P).","can_retry(U, P) :- User(U), Prompt(P), prompted_to_try_again(U, P)."
The LHCP or ER does not confirm the selection and is prompted to try again.,"LHCP(L), ER(E).",Selection(S).,"confirms(L, S) :- LHCP(L), Selection(S). confirms(E, S) :- ER(E), Selection(S).","prompt_to_try_again(L, S) :- LHCP(L), Selection(S), not confirms(L, S). prompt_to_try_again(E, S) :- ER(E), Selection(S), not confirms(E, S)."
"An admin creates a LHCP, an ER, a Laboratory Technician (LT), or a public health agent (PHA) .",Admin(A).,"LHCP(L), ER(E), LaboratoryTechnician(LT), PublicHealthAgent(PHA).","creates(A, L) :- Admin(A), LHCP(L).
creates(A, E) :- Admin(A), ER(E).
creates(A, LT) :- Admin(A), LaboratoryTechnician(LT).
creates(A, PHA) :- Admin(A), PublicHealthAgent(PHA).","can_create(A, L) :- Admin(A), LHCP(L).
can_create(A, E) :- Admin(A), ER(E).
can_create(A, LT) :- Admin(A), LaboratoryTechnician(LT).
can_create(A, PHA) :- Admin(A), PublicHealthAgent(PHA)."
The LHCP views his or her message inbox.,LHCP(L).,MessageInbox(I).,"has_inbox(L, I) :- LHCP(L), MessageInbox(I).","can_view(L, I) :- LHCP(L), MessageInbox(I), has_inbox(L, I)."
His or her appointments in the current month shall be displayed on the calendar .,User(U).,"Appointment(A), Calendar(C).","has_appointment(U, A) :- User(U), Appointment(A).","can_view_calendar(U, C, A) :- User(U), Calendar(C), Appointment(A), has_appointment(U, A)."
The LHCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,LHCP(L).,System(S).,"authenticated_in(L, S) :- LHCP(L), System(S).","can_access(L, S) :- LHCP(L), System(S), authenticated_in(L, S)."
A Lab Technician can view his or her assigned lab procedures.,LabTechnician(LT).,LabProcedure(LP).,"assigned_to(LT, LP) :- LabTechnician(LT), LabProcedure(LP).","can_view(LT, LP) :- LabTechnician(LT), LabProcedure(LP), assigned_to(LT, LP)."
He or she can report the blood pressure (systolic and diastolic)  possibly and possibly glucose levels  for the patient.,"Reporter(R), Patient(P).","BloodPressure(BP), GlucoseLevel(GL).","has_blood_pressure(P, BP) :- Patient(P), BloodPressure(BP). has_glucose_level(P, GL) :- Patient(P), GlucoseLevel(GL).","can_report(R, P, BP) :- Reporter(R), Patient(P), BloodPressure(BP), has_blood_pressure(P, BP). can_report(R, P, GL) :- Reporter(R), Patient(P), GlucoseLevel(GL), has_glucose_level(P, GL)."
A message of the removal is sent to the adverse event reporter and to the LHCP involved in the report (because the LHCP prescribed the drug or administered the immunization).,"AdverseEventReporter(R), LHCP(L).","Message(M), AdverseEventReport(A), Drug(DR), Immunization(I).","involved_in_report(L, A) :- LHCP(L), AdverseEventReport(A). prescribed(L, DR) :- LHCP(L), Drug(DR). administered(L, I) :- LHCP(L), Immunization(I).","send_message_to_reporter(M, R, A) :- Message(M), AdverseEventReporter(R), AdverseEventReport(A). send_message_to_lhcp(M, L, A) :- Message(M), LHCP(L), AdverseEventReport(A), involved_in_report(L, A)."
"An administrator enters a LHCP, ER, or public health agent as a user of iTrust Medical Records system, initially only the name and email are provided.","Administrator(A), User(U).",User(U).,"enters_user(A, U) :- Administrator(A), User(U).","can_enter_user(A, U) :- Administrator(A), User(U), has_role(U, 'LHCP') or has_role(U, 'ER') or has_role(U, 'public_health_agent'), has_attribute(U, 'name'), has_attribute(U, 'email')."
The patient chooses to view his or her access log or that for a person for whom they are a personal health representative.,"Patient(P), PersonalHealthRepresentative(R).",AccessLog(L).,"is_personal_health_representative(R, P) :- PersonalHealthRepresentative(R), Patient(P).","can_view(P, L) :- Patient(P), AccessLog(L), (owns_log(P, L) ; (PersonalHealthRepresentative(R), is_personal_health_representative(R, P2), owns_log(P2, L), R = P))."
"The lab technician can specialize in blood work, tissue work, or general.",LabTechnician(LT).,Specialization(S).,"specializes_in(LT, S) :- LabTechnician(LT), Specialization(S).","can_specialize(LT, S) :- LabTechnician(LT), Specialization(S), specializes_in(LT, S)."
"A user (a patient, patient representative, or LHCP) wishes to read a message from the message inbox or outbox.",User(U).,Message(M).,"in_inbox(U, M) :- User(U), Message(M).
in_outbox(U, M) :- User(U), Message(M).","can_read(U, M) :- User(U), Message(M), (in_inbox(U, M); in_outbox(U, M))."
The LHCP clicks this number to view the weight or pedometer monitoring details of his or her patients for the current date.,LHCP(L).,"Patient(P), MonitoringDetails(M).","has_patient(L, P) :- LHCP(L), Patient(P).","can_view(L, P, M) :- LHCP(L), Patient(P), MonitoringDetails(M), has_patient(L, P), current_date(M)."
"The user selects a laboratory procedure from the calendar to read its details by clicking the Read Details link beside or below the LOINC code displayed for the laboratory procedure, and then the details for the laboratory procedure shall be displayed in a new page, including laboratory procedure code, status, commentary, results, and office visit date when the laboratory procedure was ordered.",User(U).,"LaboratoryProcedure(LP), Calendar(C), LOINCCode(LC), Page(P).","has_access_to(U, LP) :- User(U), LaboratoryProcedure(LP). displays_on_calendar(LP, C) :- LaboratoryProcedure(LP), Calendar(C). has_loinc_code(LP, LC) :- LaboratoryProcedure(LP), LOINCCode(LC).","can_read_details(U, LP) :- User(U), LaboratoryProcedure(LP), has_access_to(U, LP), displays_on_calendar(LP, C), has_loinc_code(LP, LC)."
"A patient either chooses to input his or her physiologic measurements (blood pressure possibly and possibly glucose levels) , or to input his or her weight, height, possibly and possibly pedometer readings .",Patient(P).,"PhysiologicMeasurement(PM), Weight(W), Height(H), PedometerReading(PR).","has_physiologic_measurement(P, PM) :- Patient(P), PhysiologicMeasurement(PM). has_weight(P, W) :- Patient(P), Weight(W). has_height(P, H) :- Patient(P), Height(H). has_pedometer_reading(P, PR) :- Patient(P), PedometerReading(PR).","can_input_measurements(P) :- Patient(P), (has_physiologic_measurement(P, _) ; (has_weight(P, _), has_height(P, _), has_pedometer_reading(P, _)))."
"After entering all required information, the HCP selects the Add button .",HCP(H).,Button(B).,"has_access_to(H, B) :- HCP(H), Button(B).","can_select(H, B) :- HCP(H), Button(B), has_access_to(H, B)."
An LHCP  views his or her iTrust homepage.,LHCP(L).,iTrustHomepage(H).,"has_homepage(L, H) :- LHCP(L), iTrustHomepage(H).","can_view(L, H) :- LHCP(L), iTrustHomepage(H), has_homepage(L, H)."
A Lab Technician can update the status of a lab procedure as received .,LabTechnician(LT).,LabProcedure(LP).,,"can_update_status(LT, LP) :- LabTechnician(LT), LabProcedure(LP)."
"The patient clicks on the name of the LHCP for an expired prescription, and is presented with the contact information for that LHCP (including First Name Last Name, LHCP Type, Street Address 1, Street Address 2, City, State, Zip Code, Phone, and Contact Email); if any type of contact information is missing or the whole contact information for the LHCP is not available in the database, the corresponding missing types of information are simply shown as blank.","Patient(P), LHCP(L).",ExpiredPrescription(EP).,"has_expired_prescription(P, EP) :- Patient(P), ExpiredPrescription(EP).
has_lhcp(EP, L) :- ExpiredPrescription(EP), LHCP(L).
has_contact_info(L, FirstName, LastName, LHCPType, StreetAddress1, StreetAddress2, City, State, ZipCode, Phone, ContactEmail) :- LHCP(L).","can_view_contact_info(P, L, FirstName, LastName, LHCPType, StreetAddress1, StreetAddress2, City, State, ZipCode, Phone, ContactEmail) :- Patient(P), LHCP(L), has_expired_prescription(P, EP), has_lhcp(EP, L), has_contact_info(L, FirstName, LastName, LHCPType, StreetAddress1, StreetAddress2, City, State, ZipCode, Phone, ContactEmail)."
The sending HCP may edit the priority of the referral possibly and possibly the referral notes.,HCP(Sender).,"Referral(R), Priority(P), Note(N).","sent_by(R, Sender) :- Referral(R), HCP(Sender).","can_edit_priority(Sender, R, P) :- HCP(Sender), Referral(R), Priority(P), sent_by(R, Sender). can_edit_notes(Sender, R, N) :- HCP(Sender), Referral(R), Note(N), sent_by(R, Sender)."
The administrator will maintain  a listing of allowable physical services (including laboratory procedures) that an HCP can use.,"Administrator(A), HCP(H).",PhysicalService(S).,"maintains_listing(A, S) :- Administrator(A), PhysicalService(S).","can_use(H, S) :- HCP(H), PhysicalService(S), maintains_listing(A, S)."
The user clicks this number to view his or her message inbox.,User(U).,MessageInbox(M).,"has_access_to(U, M) :- User(U), MessageInbox(M).","can_view(U, M) :- User(U), MessageInbox(M), has_access_to(U, M)."
"A patient is only given the choice to restrict viewing on selected diagnostic information, such as those related to mental illness, substance abuse, and cosmetic surgery.","Patient(P), Viewer(V).",DiagnosticInfo(DI).,"has_diagnosis(P, DI) :- Patient(P), DiagnosticInfo(DI).
restricted_category(DI) :- DiagnosticInfo(DI), (category(DI, 'mental_illness'); category(DI, 'substance_abuse'); category(DI, 'cosmetic_surgery')).","can_view(V, P, DI) :- Viewer(V), Patient(P), DiagnosticInfo(DI), has_diagnosis(P, DI), not (restricted_category(DI), patient_restricted(P, DI)).
patient_restricted(P, DI) :- Patient(P), DiagnosticInfo(DI), restricted_category(DI), patient_choice(P, DI)."
A sending HCP edits a previously created patient referral as long as the referral has not been viewed by the receiving HCP.,"SendingHCP(S), ReceivingHCP(R).",PatientReferral(PR).,"created_by(PR, S) :- PatientReferral(PR), SendingHCP(S).
viewed_by(PR, R) :- PatientReferral(PR), ReceivingHCP(R).","can_edit(S, PR) :- SendingHCP(S), PatientReferral(PR), created_by(PR, S), not viewed_by(PR, R)."
The HCP is presented with a listing of patients for whom they are a DLHCP who need care because of satisfying the one of preceding conditions.,HCP(H).,Patient(P).,"is_dlhcp(H, P) :- HCP(H), Patient(P).
needs_care(P) :- Patient(P).","can_view_patient_listing(H, P) :- HCP(H), Patient(P), is_dlhcp(H, P), needs_care(P)."
The iTrust user (HCP) or administrator has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S)."
The LHCP clicks an appointment to view more details.,LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_details(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A)."
An LHCP or patient can click the View Appointment Calendar link to view his or her appointments in the current month displayed on a calendar for the current month .,"LHCP(L), Patient(P).",AppointmentCalendar(AC).,"has_appointment(L, AC) :- LHCP(L), AppointmentCalendar(AC). has_appointment(P, AC) :- Patient(P), AppointmentCalendar(AC).","can_view(L, AC) :- LHCP(L), AppointmentCalendar(AC), has_appointment(L, AC). can_view(P, AC) :- Patient(P), AppointmentCalendar(AC), has_appointment(P, AC)."
The administrator will maintain  a listing of allowable immunizations that an HCP can use.,"Administrator(A), HCP(H).",Immunization(I).,"allowable_immunization(A, I) :- Administrator(A), Immunization(I).","can_use(H, I) :- HCP(H), Immunization(I), allowable_immunization(A, I)."
The HCP uploads a comma-seperated value file containing one patient per row.,HCP(H).,"CSVFile(F), Patient(P).","contains_patient(F, P) :- CSVFile(F), Patient(P).","can_upload(H, F) :- HCP(H), CSVFile(F)."
"A user (a patient or personal health representative) can choose to view a list of his or her upcoming appointments for himself or herself, as well as appointments for the patients he or she represents (i.e., a list including appointments whose appointment date and start time is equal or later than the current date or time, sorted by time with soonest upcoming first).","User(U), Patient(P), PersonalHealthRepresentative(R).",Appointment(A).,"is_patient(U, P) :- User(U), Patient(P).
represents(R, P) :- PersonalHealthRepresentative(R), Patient(P).
has_appointment(P, A) :- Patient(P), Appointment(A).
is_upcoming(A) :- Appointment(A), appointment_date(A, Date), appointment_time(A, Time), current_date(CurrentDate), current_time(CurrentTime), (Date > CurrentDate) or (Date = CurrentDate and Time >= CurrentTime).","can_view_appointments(U, A) :- User(U), Appointment(A), (is_patient(U, P), has_appointment(P, A), is_upcoming(A)) or (PersonalHealthRepresentative(U), represents(U, P), has_appointment(P, A), is_upcoming(A))."
A fake email is sent to the LHCP alerting the user that a new message has arrived.,"User(U), LHCP(L).","Email(E), Message(M).","is_fake_email(E) :- Email(E).
has_new_message(U, M) :- User(U), Message(M).
receives_alert(L, U, M) :- LHCP(L), User(U), Message(M), has_new_message(U, M).","can_send_fake_email(L, E, U, M) :- LHCP(L), Email(E), User(U), Message(M), is_fake_email(E), receives_alert(L, U, M)."
"On the patient homepage, the Patient views a notification center.",Patient(P).,NotificationCenter(NC).,"has_access_to(P, NC) :- Patient(P), NotificationCenter(NC).","can_view(P, NC) :- Patient(P), NotificationCenter(NC), has_access_to(P, NC)."
The user may try three times.,User(U).,Attempt(A).,"attempt_count(U, Count) :- User(U), Count = count(A) where Attempt(A) and attempted_by(A, U).","can_attempt(U) :- User(U), attempt_count(U, Count), Count < 3."
HIPAA rules protect patients' information and also allow a patient to dictate who can access this information.,"Patient(P), User(U).",Information(I).,"has_information(P, I) :- Patient(P), Information(I).","can_access(U, I) :- User(U), Information(I), Patient(P), has_information(P, I), allows_access(P, U)."
The iTrust user (LCHP) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S)."
The public health agent can select to see the detail of a specific report.,PublicHealthAgent(A).,Report(R).,"has_access_to(A, R) :- PublicHealthAgent(A), Report(R).","can_view_detail(A, R) :- PublicHealthAgent(A), Report(R), has_access_to(A, R)."
The HCP is notified that the required fields contain too many characters.,HCP(H).,Field(F).,"has_field(H, F) :- HCP(H), Field(F).","notify_too_many_chars(H, F) :- HCP(H), Field(F), has_field(H, F), too_many_chars(F)."
An HCP can remove a previously created lab procedure for a given office visit.,"HCP(H), OfficeVisit(V).",LabProcedure(L).,"created_for(H, L, V) :- HCP(H), LabProcedure(L), OfficeVisit(V).","can_remove(H, L, V) :- HCP(H), LabProcedure(L), OfficeVisit(V), created_for(H, L, V)."
"The HCP has authenticated himself or herself in the iTrust Medical Records system (UC2),(UC3).",HCP(H).,System(S).,"authenticated_in(H, S) :- HCP(H), System(S).","can_access(H, S) :- HCP(H), System(S), authenticated_in(H, S)."
A public health agent (PHA) selects a specific time period for which he or she would like to see a detailed listing of all adverse events related to prescription drugs  or immunizations  or to see trends in adverse events relate to prescription drugs  or immunizations .,PublicHealthAgent(PHA).,"TimePeriod(T), AdverseEvent(AE), PrescriptionDrug(PD), Immunization(I).","related_to(AE, PD) :- AdverseEvent(AE), PrescriptionDrug(PD).
related_to(AE, I) :- AdverseEvent(AE), Immunization(I).
selected_time_period(PHA, T) :- PublicHealthAgent(PHA), TimePeriod(T).","can_view_listing(PHA, T, AE) :- PublicHealthAgent(PHA), TimePeriod(T), AdverseEvent(AE), selected_time_period(PHA, T), (related_to(AE, PD); related_to(AE, I)).
can_view_trends(PHA, T, AE) :- PublicHealthAgent(PHA), TimePeriod(T), AdverseEvent(AE), selected_time_period(PHA, T), (related_to(AE, PD); related_to(AE, I))."
A patient or personal health representative chooses to view medical records  including family history .,"Patient(P), PersonalHealthRepresentative(R).","MedicalRecord(MR), FamilyHistory(FH).","has_access(P, MR) :- Patient(P), MedicalRecord(MR). has_access(R, MR) :- PersonalHealthRepresentative(R), MedicalRecord(MR). includes_family_history(MR, FH) :- MedicalRecord(MR), FamilyHistory(FH).","can_view(P, MR) :- Patient(P), MedicalRecord(MR), has_access(P, MR). can_view(R, MR) :- PersonalHealthRepresentative(R), MedicalRecord(MR), has_access(R, MR). can_view(P, FH) :- Patient(P), FamilyHistory(FH), MedicalRecord(MR), includes_family_history(MR, FH), has_access(P, MR). can_view(R, FH) :- PersonalHealthRepresentative(R), FamilyHistory(FH), MedicalRecord(MR), includes_family_history(MR, FH), has_access(R, MR)."
"The patient looks for an hospital with experience in physical services, as specified by LOINC codes of the office visits (UC15) and is given a list of the 5 most experienced Hospitals in that particular field.",Patient(P).,"Hospital(H), Service(S), LOINC_Code(L).","has_experience(H, S) :- Hospital(H), Service(S), LOINC_Code(L), office_visit(L, S), UC15(L).","can_find_hospitals(P, H) :- Patient(P), Hospital(H), Service(S), has_experience(H, S), top_5_experienced(H, S)."
An LHCP can schedule an appointment with a patient .,LHCP(L).,"Patient(P), Appointment(A).","has_appointment(P, A) :- Patient(P), Appointment(A).","can_schedule(L, P, A) :- LHCP(L), Patient(P), Appointment(A)."
The user (patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,Patient(P).,System(S).,"authenticated_in(P, S) :- Patient(P), System(S).","can_access(P, S) :- Patient(P), System(S), authenticated_in(P, S)."
The administrator selects a file containing LOINC information and chooses to upload it.,Administrator(A).,"File(F), LOINC(L).","contains(F, L) :- File(F), LOINC(L).","can_upload(A, F) :- Administrator(A), File(F), contains(F, L)."
A receiving HCP views a list of received referrals .,HCP(H).,ReferralList(L).,"has_received_referral(H, L) :- HCP(H), ReferralList(L).","can_view(H, L) :- HCP(H), ReferralList(L), has_received_referral(H, L)."
The user can choose to examine recent trends in diagnoses.,User(U).,DiagnosisTrend(DT).,"has_access_to(U, DT) :- User(U), DiagnosisTrend(DT).","can_examine(U, DT) :- User(U), DiagnosisTrend(DT), has_access_to(U, DT)."
"The user selects a message from the list to read by clicking the 'Read' link beside the row for the message, and then the message subject, the name of the sender, the name of the the recipient, timestamp, and the message text shall be displayed in a new page.",User(U).,Message(M).,"has_permission_to_read(U, M) :- User(U), Message(M), is_recipient(U, M) or is_sender(U, M).","can_read_message(U, M) :- User(U), Message(M), has_permission_to_read(U, M)."
The HCP can choose to remove the lab procedure as long as the status is either in transit or received.,HCP(H).,LabProcedure(L).,"has_status(L, Status) :- LabProcedure(L), Status in {in_transit, received}.","can_remove(H, L) :- HCP(H), LabProcedure(L), has_status(L, Status)."
A Lab Technician can view his or her priority queue of lab procedures .,LabTechnician(T).,LabProcedure(LP).,"has_priority_queue(T, LP) :- LabTechnician(T), LabProcedure(LP).","can_view(T, LP) :- LabTechnician(T), LabProcedure(LP), has_priority_queue(T, LP)."
